State	Adoptions	Population(2014)	Adoptions.per.100000
Alabama	548	4849377	11.300420652
Alaska	367	736732	49.81458658
Arizona	3090	6731484	45.903696718
Arkansas	743	2966369	25.047457009
California	5471	38802500	14.099606984
Colorado	769	5355866	14.358088869
Connecticut	502	3596677	13.957327833
Delaware	84	935614	8.9780614655
District of Columbia	107	658893	16.239359046
Florida	3265	19893297	16.412563488
Georgia	887	10097343	8.7844891473
Hawaii	121	1419561	8.5237619236
Idaho	218	1634464	13.337705817
Illinois	1648	12880580	12.794454908
Indiana	850	6596855	12.884927742
Iowa	878	3107126	28.25762457
Kansas	695	2904021	23.932333823
Kentucky	909	4413457	20.596099611
Louisiana	622	4649676	13.37727618
Maine	295	1330089	22.178966971
Maryland	340	5976407	5.689036908
Massachusetts	589	6745408	8.7318661821
Michigan	2137	9909877	21.56434434
Minnesota	642	5457173	11.764332925
Mississippi	314	2994079	10.48736523
Missouri	1291	6063589	21.291020879
Montana	234	1023579	22.860961391
Nebraska	461	1881503	24.501688278
Nevada	729	2839099	25.677160254
New Hampshire	120	1326813	9.0442285386
New Jersey	1021	8938175	11.422913514
New Mexico	315	2085572	15.103770093
New York	1997	19746227	10.113324434
North Carolina	1164	9943964	11.705593464
North Dakota	96	739482	12.982060415
Ohio	1404	11594163	12.109541672
Oklahoma	1382	3878051	35.636457592
Oregon	847	3970239	21.333728272
Pennsylvania	1849	12787209	14.459762095
Rhode Island	202	1055173	19.143780214
South Carolina	449	4832482	9.2912917213
South Dakota	159	853175	18.636270402
Tennessee	1161	6549352	17.726944589
Texas	5221	26956958	19.367912359
Utah	605	2942902	20.557939068
Vermont	161	626562	25.695781104
Virginia	632	8326289	7.5904163307
Washington	1362	7061530	19.287604811
West Virginia	852	1850326	46.045940013
Wisconsin	735	5757564	12.765815543
Wyoming	75	584153	12.839102085
