City	Index
Dallas-Plano-Irving, TX Metro Div	95.4
Austin-Round Rock, TX	94.3
Nashville-Davidson--Murfreesboro--Franklin, TN	94.3
San Jose-Sunnyvale-Santa Clara, CA	94.1
Charlotte-Concord-Gastonia, NC-SC	93.2
Orlando-Kissimmee-Sanford, FL	92.7
Raleigh, NC	92.4
San Francisco-Redwood City-South San Francisco, CA Metro Div	92.4
Seattle-Bellevue-Everett, WA Metro Div	92.4
Riverside-San Bernardino-Ontario, CA	89.5
Salt Lake City, UT	89.3
Denver-Aurora-Lakewood, CO	88.7
San Antonio-New Braunfels, TX	85.5
Jacksonville, FL	85.5
Portland-Vancouver-Hillsboro, OR-WA	84.5
Phoenix-Mesa-Scottsdale, AZ	79.6
Las Vegas-Henderson-Paradise, NV	79.4
Atlanta-Sandy Springs-Roswell, GA	79
Fort Worth-Arlington, TX Metro Div	77.9
Tampa-St. Petersburg-Clearwater, FL	77.3
Grand Rapids-Wyoming, MI	77.2
Oakland-Hayward-Berkeley, CA Metro Div	76.5
Sacramento--Roseville--Arden-Arcade, CA	75.4
New York City, NY	74.1
Indianapolis-Carmel-Anderson, IN	73.8
San Diego-Carlsbad, CA	72.8
Anaheim-Santa Ana-Irvine, CA Metro Div	71.9
Columbus, OH	70
Miami-Miami Beach-Kendall, FL Metro Div	70
Kansas City, KS	69.6
West Palm Beach-Boca Raton-Delray Beach, FL Metro Div	69
Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metro Div	68.3
Houston-The Woodlands-Sugar Land, TX	67.2
Boston-Cambridge-Newton, MA NECTA Division	65.9
Kansas City, MO	64.9
Louisville/Jefferson County, KY-IN	63.7
Northern Virginia, VA	62.1
Warren-Troy-Farmington Hills, MI Metro Div	62.1
Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Div	61
Philadelphia City, PA	60.3
Middlesex-Monmouth-Ocean, NJ	60.3
Minneapolis-St. Paul-Bloomington, MN-WI	58
Los Angeles-Long Beach-Glendale, CA Metro Div	56.8
Oklahoma City, OK	56.6
Albany-Schenectady-Troy, NY	51.7
Camden, NJ Metro Div	51.5
Tulsa, OK	48.7
Richmond, VA	48.4
Nassau County-Suffolk County, NY Metro Div	47.2
Omaha-Council Bluffs, NE-IA	46.7
Urban Honolulu, HI	46.3
Cincinnati, OH-KY-IN	44.7
Providence-Warwick, RI-MA NECTA	44.3
Orange-Rockland-Westchester, NY	44
Chicago-Naperville-Arlington Heights, IL Metro Div	43.3
Montgomery County-Bucks County-Chester County, PA Metro Div	43
Bergen-Hudson-Passaic, NJ	42.6
Pittsburgh, PA	40.6
Memphis, TN-MS-AR	40.3
Buffalo-Cheektowaga-Niagara Falls, NY	39.2
Detroit-Dearborn-Livonia, MI Metro Div	39.2
St. Louis, MO-IL	38
Silver Spring-Frederick-Rockville, MD Metro Div	37.7
New Orleans-Metairie, LA	33.1
Rochester, NY	32.3
Milwaukee-Waukesha-West Allis, WI	32.2
Hartford-West Hartford-East Hartford, CT NECTA	31.8
Birmingham-Hoover, AL	30.8
Newark, NJ-PA Metro Div	28.8
Virginia Beach-Norfolk-Newport News, VA-NC	27.4
Cleveland-Elyria, OH	23.4
