City	Index	Nonfarm employment	Size
Provo-Orem, UT	99.4	254.9 	M 
Lake Charles, LA	98.8	116.8 	S 
Greeley, CO	98.2	106.7 	S 
Dallas-Plano-Irving, TX Metro Div	95.4	2,609.2 	L 
St. George, UT	95.1	64.7 	S 
Gainesville, GA	94.7	91.3 	S 
Austin-Round Rock, TX	94.3	1,050.5 	L 
Nashville-Davidson--Murfreesboro--Franklin, TN	94.3	993.0 	L 
San Jose-Sunnyvale-Santa Clara, CA	94.1	1,115.9 	L 
Fayetteville-Springdale-Rogers, AR-MO	93.5	256.0 	M 
Charlotte-Concord-Gastonia, NC-SC	93.2	1,200.9 	L 
Boise City, ID	92.8	321.2 	M 
Orlando-Kissimmee-Sanford, FL	92.7	1,275.7 	L 
Raleigh, NC	92.4	623.7 	L 
San Francisco-Redwood City-South San Francisco, CA Metro Div	92.4	1,130.4 	L 
Seattle-Bellevue-Everett, WA Metro Div	92.4	1,711.4 	L 
Fort Collins, CO	92.2	166.2 	M 
Olympia-Tumwater, WA	92.2	117.8 	S 
Auburn-Opelika, AL	92	65.3 	S 
Elkhart-Goshen, IN	91.5	140.9 	S 
Merced, CA	91.5	68.4 	S 
Bend-Redmond, OR	90.2	81.8 	S 
Riverside-San Bernardino-Ontario, CA	89.5	1,491.5 	L 
Salt Lake City, UT	89.3	726.0 	L 
College Station-Bryan, TX	88.9	120.6 	S 
Denver-Aurora-Lakewood, CO	88.7	1,475.7 	L 
Ogden-Clearfield, UT	88	255.2 	M 
Daphne-Fairhope-Foley, AL	87.7	74.4 	S 
Coeur d'Alene, ID	87.2	62.7 	S 
Stockton-Lodi, CA	87.1	239.0 	M 
Spartanburg, SC	86	155.4 	M 
San Antonio-New Braunfels, TX	85.5	1,049.8 	L 
Jacksonville, FL	85.5	702.7 	L 
Charleston-North Charleston, SC	85.4	354.2 	M 
Fresno, CA	85.3	350.1 	M 
The Villages, FL	85	28.4 	S 
Yakima, WA	84.9	87.4 	S 
Midland, TX	84.7	97.6 	S 
Jonesboro, AR	84.6	58.2 	S 
Portland-Vancouver-Hillsboro, OR-WA	84.5	1,183.5 	L 
Portsmouth, NH-ME NECTA	83.3	93.1 	S 
Crestview-Fort Walton Beach-Destin, FL	83.3	114.5 	S 
Reno, NV	83	235.3 	M 
Charlottesville, VA	82	118.3 	S 
Myrtle Beach-Conway-North Myrtle Beach, SC-NC	81.7	160.9 	M 
Idaho Falls, ID	81.5	66.0 	S 
North Port-Sarasota-Bradenton, FL	81.5	306.3 	M 
Colorado Springs, CO	80.8	288.7 	M 
Wenatchee, WA	80.5	44.5 	S 
San Luis Obispo-Paso Robles-Arroyo Grande, CA	79.8	117.8 	S 
Kennewick-Richland, WA	79.7	113.3 	S 
Phoenix-Mesa-Scottsdale, AZ	79.6	2,075.9 	L 
Las Vegas-Henderson-Paradise, NV	79.4	988.5 	L 
Atlanta-Sandy Springs-Roswell, GA	79	2,750.3 	L 
Hilton Head Island-Bluffton-Beaufort, SC	78.4	78.1 	S 
Tacoma-Lakewood, WA Metro Div	78	315.9 	M 
Boulder, CO	78	190.3 	M 
Fort Worth-Arlington, TX Metro Div	77.9	1,042.1 	L 
Bowling Green, KY	77.9	77.0 	S 
Tampa-St. Petersburg-Clearwater, FL	77.3	1,341.9 	L 
Grand Rapids-Wyoming, MI	77.2	557.9 	L 
Oakland-Hayward-Berkeley, CA Metro Div	76.5	1,176.9 	L 
Ames, IA	76.3	55.0 	S 
Santa Rosa, CA	76.3	207.4 	M 
Bellingham, WA	76.2	93.9 	S 
Asheville, NC	76.2	193.3 	M 
Yuba City, CA	76.2	44.3 	S 
Lowell-Billerica-Chelmsford, MA-NH NECTA Division	75.8	158.7 	M 
Winchester, VA-WV	75.8	64.3 	S 
Logan, UT-ID	75.8	62.3 	S 
Visalia-Porterville, CA	75.7	127.0 	S 
Corvallis, OR	75.4	43.3 	S 
Sacramento--Roseville--Arden-Arcade, CA	75.4	982.8 	L 
Augusta-Richmond County, GA-SC	75.1	241.2 	M 
Madera, CA	75.1	38.3 	S 
Modesto, CA	75	175.6 	M 
Santa Cruz-Watsonville, CA	74.6	102.9 	S 
Cape Coral-Fort Myers, FL	74.3	266.1 	M 
Medford, OR	74.3	88.1 	S 
McAllen-Edinburg-Mission, TX	74.3	261.6 	M 
New York City, NY	74.1	4,476.3 	L 
Pensacola-Ferry Pass-Brent, FL	73.9	178.6 	M 
Lakeland-Winter Haven, FL	73.9	224.5 	M 
Indianapolis-Carmel-Anderson, IN	73.8	1,066.6 	L 
Grants Pass, OR	73.8	26.1 	S 
Des Moines-West Des Moines, IA	73.6	365.7 	M 
Deltona-Daytona Beach-Ormond Beach, FL	73.4	202.7 	M 
Chico, CA	73.3	82.5 	S 
