ReleasedDate	Released	Title	Genre	CreativeType	ProductionBudget	MaximumTheaters	Opening WeekendRevenue	DomesticBox Office	InternationalBox Office	WorldwideBox Office	Genre plotted
Jul 7, 2006	2006	Pirates of the Caribbean: Dead Man’…	Adventure	Historical Fiction	225000000.00	4133	135634554.00	423315812.00	642900000.00	1066215812.00	Adventure
Dec 22, 2006	2006	Night at the Museum	Adventure	Kids Fiction	110000000.00	3768	30433781.00	250863268.00	328583139.00	579446407.00	Adventure
Jun 9, 2006	2006	Cars	Adventure	Kids Fiction	70000000.00	3988	60119509.00	244082982.00	217568264.00	461651246.00	Adventure
May 26, 2006	2006	X-Men: The Last Stand	Action	Super Hero	210000000.00	3714	102750665.00	234362462.00	224898484.00	459260946.00	Action
May 19, 2006	2006	The Da Vinci Code	Thriller/Suspense	Contemporary Fiction	125000000.00	3757	77073388.00	217536138.00	550284321.00	767820459.00	Thriller/Suspense
Jun 28, 2006	2006	Superman Returns	Adventure	Super Hero	232000000.00	4065	52535096.00	200120000.00	173965065.00	374085065.00	Adventure
Nov 17, 2006	2006	Happy Feet	Adventure	Kids Fiction	85000000.00	3804	41533432.00	198000317.00	187000000.00	385000317.00	Adventure
Mar 31, 2006	2006	Ice Age: The Meltdown	Adventure	Kids Fiction	75000000.00	3969	68033544.00	195330621.00	456568661.00	651899282.00	Adventure
Nov 17, 2006	2006	Casino Royale	Action	Contemporary Fiction	102000000.00	3443	40833156.00	167365000.00	427055283.00	594420283.00	Action
Dec 15, 2006	2006	The Pursuit of Happyness	Drama	Dramatization	55000000.00	3169	26541709.00	162586036.00	144725057.00	307311093.00	Drama
May 19, 2006	2006	Over the Hedge	Adventure	Kids Fiction	80000000.00	4093	38457003.00	155019340.00	188377907.00	343397247.00	Adventure
Aug 4, 2006	2006	Talladega Nights: The Ballad of Ricky…	Comedy	Contemporary Fiction	73000000.00	3807	47042215.00	148213377.00	14657148.00	162870525.00	Comedy
Jun 23, 2006	2006	Click	Comedy	Fantasy	82500000.00	3764	40011365.00	137355633.00	100329456.00	237685089.00	Comedy
May 5, 2006	2006	Mission: Impossible III	Action	Contemporary Fiction	150000000.00	4059	47743273.00	133501348.00	264000000.00	397501348.00	Action
Oct 6, 2006	2006	The Departed	Drama	Contemporary Fiction	90000000.00	3017	26887467.00	132384315.00	157276304.00	289660619.00	Drama
Nov 3, 2006	2006	Borat	Comedy	Contemporary Fiction	18000000.00	2611	26455463.00	128505958.00	132937284.00	261443242.00	Comedy
Jun 30, 2006	2006	The Devil Wears Prada	Comedy	Contemporary Fiction	35000000.00	2882	27537244.00	124740460.00	201332695.00	326073155.00	Comedy
Jun 2, 2006	2006	The Break-Up	Romantic Comedy	Contemporary Fiction	52000000.00	3146	39172785.00	118703275.00	87024032.00	205727307.00	Comedy
Dec 15, 2006	2006	Dreamgirls	Musical	Historical Fiction	75000000.00	2797	378950.00	103365956.00	52342739.00	155708695.00	Concert/Musical
Apr 14, 2006	2006	Scary Movie 4	Comedy	Contemporary Fiction	40000000.00	3673	40222875.00	90710620.00	88000000.00	178710620.00	Comedy
Mar 10, 2006	2006	Failure to Launch	Romantic Comedy	Contemporary Fiction	50000000.00	3202	24411322.00	88715192.00	39687709.00	128402901.00	Comedy
Mar 24, 2006	2006	Inside Man	Thriller/Suspense	Contemporary Fiction	50000000.00	2867	28954945.00	88634237.00	97164028.00	185798265.00	Thriller/Suspense
Sep 29, 2006	2006	Open Season	Adventure	Kids Fiction	85000000.00	3833	23624548.00	85105259.00	106826899.00	191932158.00	Adventure
Nov 3, 2006	2006	The Santa Clause 3: The Escape Clause	Adventure	Kids Fiction	0.00	3458	19504038.00	84500122.00	23000000.00	107500122.00	Adventure
Dec 15, 2006	2006	Charlotte's Web	Drama	Fantasy	82500000.00	3745	11457353.00	82985708.00	61000000.00	143985708.00	Drama
