Sex	Euro.Size
Male	44.5
Female	41.5
Male	43
Male	42.5
Male	46.5
Male	47
Male	47
Female	38.5
Female	36
Female	36
Male	43
Male	43
Male	44.5
Male	43
Male	44.5
Female	37
Female	41.5
Female	36
Male	42.5
Male	43
Female	38
Male	45.5
Male	43
Male	45
Male	44.5
Female	37.5
Male	44
Female	40
Male	44
Male	43
Female	37.5
Female	37.5
Male	44.5
Male	46.5
Male	43
Male	44.5
Male	48.5
Female	37.5
Male	45.5
Male	44
Female	37.5
Male	47
Male	49.5
Female	41.5
Male	42.5
Male	44.5
Female	39.5
Male	44
Male	45.5
Female	40.5
Male	48.5
Female	38
Male	48.5
Female	36
Male	44.5
Male	44
Female	37
Female	39.5
Male	44.5
Female	37
Male	40.5
Male	44.5
Female	36
Male	40
Male	43
Male	41.5
Female	40.5
Male	45
Female	40
Male	47
Male	42.5
Male	43
Male	47
Female	38
Female	38.5
Female	41.5
Male	47
Female	39.5
Female	37.5
Female	38
Female	37.5
Male	44
Male	44.5
Female	37
Female	41.5
Female	37.5
Male	42.5
Female	38
Female	38
Male	47
Female	38.5
Female	35
Female	39.5
Male	47
Female	35
Male	47
	
Female	38.5
Male	48.5
Male	47
Female	36
Female	40
Female	37.5
Male	47
Female	38
Male	45
Male	43
Male	45
Female	35.5
Female	38.5
Male	45.5
Female	38.5
Male	46.5
Male	44
Female	38
Female	38
Male	42.5
Female	36
Male	44.5
Male	48.5
Male	47
Male	47
Female	39.5
Male	47
Male	42
Male	47
Male	41.5
Male	47
Male	43
Male	40.5
Female	42
Male	47
Female	38.5
Male	43
Female	40
Female	39.5
Female	37
Male	47
Female	36
Male	45.5
Female	39.5
Male	44.5
Male	44.5
Male	49.5
Male	42.5
Female	37
Male	44
Male	47
Female	42.5
Male	43
Female	41.5
Male	45
Male	42.5
Male	45
Female	35
Male	47
Female	38
Male	47
Female	37.5
Male	42
Female	41.5
Male	45.5
Male	44.5
Female	39.5
Male	43
Female	40
Male	44
Female	40
Male	42
Female	37.5
Female	38
Male	43
Female	38
Male	42.5
Male	46.5
Female	38
Male	44
Male	44.5
Female	40
Female	35.5
	
Female	38
Female	37
Female	36
Female	40.5
Female	40.5
Male	44.5
Male	43
Male	45
Male	41.5
Male	44.5
Female	39.5
Female	38
Male	44
Male	42.5
Female	38
Female	41.5
Female	39.5
Female	39.5
Male	45.5
Female	39.5
Female	38
Female	37
Female	40
Male	42
Male	45.5
Female	41.5
Male	44.5
Female	40
Female	38
Male	45.5
Male	45.5
Male	49.5
Female	36
Male	42
Male	43
Female	36
Male	41.5
Female	38
Male	46.5
Female	40
Female	39.5
Male	44
Male	42.5
Female	37.5
Female	37.5
Male	44.5
Male	41.5
Female	37.5
Male	47
Female	38.5
Female	40.5
Female	40.5
Male	43
Female	37
Female	35
Female	41.5
Female	41.5
Female	40.5
Female	36
Female	38
Female	37.5
Female	37.5
Male	44
Male	42.5
Female	36
Female	38.5
Female	38.5
	
Male	47
Male	46.5
Female	38.5
Female	41.5
Female	39.5
Female	41.5
Female	36
Female	39.5
Male	44.5
Female	35
Male	44.5
Male	44
Female	37
Male	47
Female	40
Female	40.5
Male	44.5
Male	43
Male	45.5
