Year	Total traffic fatalities	Occupant.fatalities	Passenger.car.fatalities	Subcompact	Compact	Intermediate	Full	Other/Unknown	Truck.total	Light	Large	Other vehicles.total	Motorcycle	Bus	Other/unknown	Nonoccupant.fatalities.total	Pedestrian	Pedalcyclist	Other
1975	44525	35925	25929	3675	614	1869	10800	8971	5817	4856	961	4179	3189	53	937	8600	7516	1003	81
1980	51091	41927	27449	7124	927	3878	11577	3943	8748	7486	1262	5730	5144	46	540	9164	8070	965	129
1985	43825	36043	23212	7851	2635	4391	6586	1749	7666	6689	977	5165	4564	57	544	7782	6808	890	84
1990	44599	37134	24092	8309	5310	4849	4635	989	9306	8601	705	3736	3244	32	460	7465	6482	859	124
1991	41508	34740	22385	7694	5338	4681	4040	632	9052	8391	661	3303	2806	31	466	6768	5801	843	124
1992	39250	32880	21387	7028	5354	4418	3796	791	8683	8098	585	2810	2395	28	387	6370	5549	723	98
1993	40150	33574	21566	6968	5707	4483	3675	733	9116	8511	605	2892	2449	18	425	6576	5649	816	111
1994	40716	34318	21997	7060	6322	4407	3560	648	9574	8904	670	2747	2320	18	409	6398	5489	802	107
1995	41817	35291	22423	6791	6899	4666	3413	654	10216	9568	648	2652	2227	33	392	6526	5584	833	109
1996	42065	35695	22505	6618	7288	4670	3417	512	10553	9932	621	2637	2161	21	455	6368	5449	765	154
1997	42013	35725	22199	6220	7195	4794	3481	509	10972	10249	723	2554	2116	18	420	6288	5321	814	153
1998	41501	35382	21194	5514	6804	4617	3106	1153	11447	10705	742	2741	2294	38	409	6119	5228	760	131
1999	41717	35875	20862	4887	6942	4721	2887	1425	12024	11265	759	2989	2483	59	447	5842	4939	754	149
2000	41945	36348	20699	4773	7022	5204	3184	516	12280	11526	754	3369	2897	22	450	5597	4763	693	141
2001	42196	36440	20320	4458	6731	5402	3208	521	12431	11723	708	3689	3197	34	458	5756	4901	732	123
2002	43005	37375	20569	4248	7061	5514	3262	484	12963	12274	689	3843	3270	45	528	5630	4851	665	114
2003	42884	37341	19725	3717	6769	5583	3233	423	13272	12546	726	4344	3714	41	589	5543	4774	629	140
2004	42836	37304	19192	3317	6650	5667	3161	397	13440	12674	766	4672	4028	42	602	5532	4675	727	130
2005	43510	37646	18512	2988	6288	5571	3287	378	13841	13037	804	5293	4576	58	659	5864	4892	786	186
2006	42708	36956	17925	2644	6105	5461	3293	422	13566	12761	805	5465	4837	27	601	5752	4795	772	185
2007	41259	35701	16614	2278	5538	5243	3190	365	13263	12458	805	5824	5174	36	614	5558	4699	701	158
2008	37423	32103	14646	1937	4780	4763	2965	201	11498	10816	682	5959	5312	67	580	5320	4414	718	188
2009	33883	28995	13135	1550	4147	4406	2858	174	10811	10312	499	5049	4469	26	554	4888	4109	628	151
2010	32999	27889	12491	1430	3977	4244	2678	162	10312	9782	530	5086	4518	44	524	5110	4302	623	185
2011	32479	27140	12014	1352	3801	4066	2647	148	9942	9302	640	5184	4630	55	499	5339	4457	682	200
2012	33782	28003	12361	1360	3866	4088	2860	187	10115	9418	697	5527	4986	39	502	5779	4818	734	227
2013	32719	27051	11977	1206	3610	4083	2830	248	9846	9155	691	5228	4668	48	512	5668	4735	743	190
