ages	Male:Data	Female:Data	Total:Data
<=19	4,431	4,324	8,755
20	20	1,590	3,248
21	20	1,649	3,355
22	1,775	1,731	3,506
23	1,842	1,803	3,645
24	1,895	1,869	3,764
20-14	8,876	8,643	17,519
25-29	10,099	10,088	20,187
39-34	9,953	10,026	19,979
35-39	9,725	9,877	19,602
40-44	8,965	9,087	18,052
45-49	9,550	9,648	19,198
50-54	9,665	9,779	19,444
55-59	10,134	10,405	20,539
60-64	9,328	9,713	19,041
65-69	7,759	8,183	15,942
70-74	5,962	6,289	12,251
75-79	3,878	4,176	8,054
80-84	2,315	2,621	4,936
>=85	1,847	2,218	4,065
Totals	112,480	115,079	227,559
