Ethnicity	Admission Decision
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
Black/Hispanic	Accepted
