Year	month	Price
1993	Apr	1.086
1993	May	1.106
1993	Jun	1.089
1993	Jul	1.069
1993	Aug	1.065
1993	Sep	1.047
1993	Oct	1.092
1993	Nov	1.058
1993	Dec	0.999
1994	Jan	0.999
1994	Feb	1.004
1994	Mar	1.012
1994	Apr	1.037
1994	May	1.05
1994	Jun	1.095
1994	Jul	1.114
1994	Aug	1.165
1994	Sep	1.129
1994	Oct	1.107
1994	Nov	1.117
1994	Dec	1.125
1995	Jan	1.132
1995	Feb	1.121
1995	Mar	1.121
1995	Apr	1.184
1995	May	1.244
1995	Jun	1.229
1995	Jul	1.191
1995	Aug	1.163
1995	Sep	1.156
1995	Oct	1.125
1995	Nov	1.107
1995	Dec	1.128
1996	Jan	1.138
1996	Feb	1.153
1996	Mar	1.21
1996	Apr	1.301
1996	May	1.321
1996	Jun	1.289
1996	Jul	1.272
1996	Aug	1.253
1996	Sep	1.251
1996	Oct	1.26
1996	Nov	1.289
1996	Dec	1.278
1997	Jan	1.284
1997	Feb	1.27
1997	Mar	1.25
1997	Apr	1.24
1997	May	1.255
1997	Jun	1.232
1997	Jul	1.216
1997	Aug	1.288
1997	Sep	1.269
1997	Oct	1.228
1997	Nov	1.207
1997	Dec	1.167
1998	Jan	1.112
1998	Feb	1.09
1998	Mar	1.047
1998	Apr	1.086
1998	May	1.108
1998	Jun	1.096
1998	Jul	1.088
1998	Aug	1.058
1998	Sep	1.053
1998	Oct	1.055
1998	Nov	1.03
1998	Dec	0.979
1999	Jan	0.977
1999	Feb	0.949
1999	Mar	1.056
1999	Apr	1.171
1999	May	1.166
1999	Jun	1.153
1999	Jul	1.232
1999	Aug	1.273
1999	Sep	1.302
1999	Oct	1.277
1999	Nov	1.309
1999	Dec	1.314
2000	Jan	1.354
2000	Feb	1.458
2000	Mar	1.549
2000	Apr	1.478
2000	May	1.566
2000	Jun	1.691
2000	Jul	1.562
2000	Aug	1.521
2000	Sep	1.586
2000	Oct	1.588
2000	Nov	1.549
2000	Dec	1.453
2001	Jan	1.511
2001	Feb	1.471
2001	Mar	1.445
2001	Apr	1.658
2001	May	1.739
2001	Jun	1.583
2001	Jul	1.44
2001	Aug	1.523
2001	Sep	1.522
2001	Oct	1.307
2001	Nov	1.168
2001	Dec	1.113
2002	Jan	1.142
2002	Feb	1.157
2002	Mar	1.382
2002	Apr	1.446
2002	May	1.429
2002	Jun	1.425
2002	Jul	1.451
2002	Aug	1.444
2002	Sep	1.436
2002	Oct	1.485
2002	Nov	1.423
2002	Dec	1.443
2003	Jan	1.515
2003	Feb	1.699
2003	Mar	1.732
2003	Apr	1.6
2003	May	1.528
2003	Jun	1.537
2003	Jul	1.558
2003	Aug	1.787
2003	Sep	1.686
2003	Oct	1.584
2003	Nov	1.554
2003	Dec	1.528
2004	Jan	1.664
2004	Feb	1.73
2004	Mar	1.785
2004	Apr	1.853
2004	May	2.104
2004	Jun	1.965
2004	Jul	1.948
2004	Aug	1.926
2004	Sep	1.959
2004	Oct	2.074
2004	Nov	1.992
2004	Dec	1.838
2005	Jan	1.896
2005	Feb	1.969
