Year	Month	Domestic Load Factor	International Load Factor	Total	FallWinter	SpringSummer	Year# 	Decimal Year
2002	10	67.88	72.85	70.01	1	0	2	2002.75
2002	11	66.62	69.86	68	1	0	2	2002.8333
2002	12	72.88	73.42	73.11	1	0	2	2002.9167
2003	1	64.4	72.5	67.9	1	0	3	2003
2003	2	68.1	68.89	68.43	1	0	3	2003.0833
2003	3	72.43	69.36	71.14	0	1	3	2003.1667
2003	4	72.13	66.78	69.97	0	1	3	2003.25
2003	5	73.98	72.42	73.35	0	1	3	2003.3333
2003	6	78.58	80.01	79.18	0	1	3	2003.4167
2003	7	80.98	81.56	81.23	0	1	3	2003.5
2003	8	78.74	82.39	80.31	0	1	3	2003.5833
2003	9	66.93	75.17	70.51	1	0	3	2003.6667
2003	10	71.47	74.5	72.75	1	0	3	2003.75
2003	11	70.45	74.78	72.26	1	0	3	2003.8333
2003	12	72.52	77.24	74.49	1	0	3	2003.9167
2004	1	65.28	75.02	69.41	1	0	4	2004
2004	2	68.6	71.49	69.79	1	0	4	2004.0833
2004	3	75.13	78.37	76.46	0	1	4	2004.1667
2004	4	76.17	77.42	76.69	0	1	4	2004.25
2004	5	74.41	77.44	75.7	0	1	4	2004.3333
2004	6	80.72	83.66	81.99	0	1	4	2004.4167
2004	7	82.2	83.48	82.76	0	1	4	2004.5
2004	8	78.74	81.91	80.12	0	1	4	2004.5833
2004	9	70.39	76.74	73.19	1	0	4	2004.6667
2004	10	74.23	76.38	75.14	1	0	4	2004.75
2004	11	73.21	74.05	73.56	1	0	4	2004.8333
2004	12	72.74	75.5	73.91	1	0	4	2004.9167
2005	1	69.77	75.95	72.47	1	0	5	2005
2005	2	71.58	72.23	71.86	1	0	5	2005.0833
2005	3	79.58	80.31	79.89	0	1	5	2005.1667
2005	4	76.64	76.92	76.76	0	1	5	2005.25
2005	5	77.52	79.39	78.34	0	1	5	2005.3333
2005	6	82.27	84.5	83.25	0	1	5	2005.4167
2005	7	83.94	84.51	84.19	0	1	5	2005.5
2005	8	80.34	82.16	81.15	0	1	5	2005.5833
2005	9	74.12	77.66	75.72	1	0	5	2005.6667
2005	10	75.94	75.99	75.96	1	0	5	2005.75
2005	11	76.53	75.48	76.08	1	0	5	2005.8333
2005	12	75.81	76.49	76.11	1	0	5	2005.9167
2006	1	72.68	76.03	74.17	1	0	6	2006
2006	2	76.07	71.68	74.13	1	0	6	2006.0833
2006	3	81.31	78.93	80.27	0	1	6	2006.1667
2006	4	81.34	79.11	80.34	0	1	6	2006.25
2006	5	80.39	78.95	79.73	0	1	6	2006.3333
2006	6	84.56	84.92	84.73	0	1	6	2006.4167
2006	7	84.95	84.88	84.92	0	1	6	2006.5
2006	8	80.9	81.73	81.28	0	1	6	2006.5833
2006	9	73.78	76.83	75.23	1	0	6	2006.6667
2006	10	77.5	75.29	76.5	1	0	6	2006.75
2006	11	77.98	75.87	77.05	1	0	6	2006.8333
2006	12	76.57	76.75	76.65	1	0	6	2006.9167
2007	1	72.3	75.56	73.77	1	0	7	2007
2007	2	75.71	72.04	74.06	1	0	7	2007.0833
2007	3	81.57	80.23	80.97	0	1	7	2007.1667
2007	4	81.38	78.71	80.17	0	1	7	2007.25
2007	5	81.27	78.97	80.22	0	1	7	2007.3333
2007	6	86.24	84.15	85.27	0	1	7	2007.4167
2007	7	86.24	84.86	85.6	0	1	7	2007.5
2007	8	84.89	82.95	83.98	0	1	7	2007.5833
2007	9	75.61	78.04	76.76	1	0	7	2007.6667
2007	10	78.45	77.71	78.12	1	0	7	2007.75
2007	11	77.66	76.79	77.27	1	0	7	2007.8333
2007	12	75.6	77.05	76.26	1	0	7	2007.9167
2008	1	72.95	75.84	74.29	1	0	8	2008
2008	2	75.91	71.14	73.7	1	0	8	2008.0833
2008	3	82.19	79.96	81.17	0	1	8	2008.1667
2008	4	80.09	75.37	77.85	0	1	8	2008.25
2008	5	81.34	77.96	79.73	0	1	8	2008.3333
2008	6	84.24	81.55	82.95	0	1	8	2008.4167
2008	7	84.11	83.01	83.58	0	1	8	2008.5
2008	8	83.35	82.37	82.88	0	1	8	2008.5833
2008	9	76.07	74.7	75.39	1	0	8	2008.6667
2008	10	79.76	75.68	77.8	1	0	8	2008.75
2008	11	75.89	73.99	74.99	1	0	8	2008.8333
2008	12	79.17	76.55	77.91	1	0	8	2008.9167
2009	1	72.82	73.52	73.16	1	0	9	2009
2009	2	75.28	68.77	72.21	1	0	9	2009.0833
2009	3	81.08	73.79	77.65	0	1	9	2009.1667
2009	4	82.1	76.45	79.38	0	1	9	2009.25
2009	5	81.32	75.51	78.53	0	1	9	2009.3333
2009	6	85.37	80.64	83.09	0	1	9	2009.4167
2009	7	87.09	83.85	85.51	0	1	9	2009.5
2009	8	84.97	84.56	84.77	0	1	9	2009.5833
2009	9	79.42	79.81	79.61	1	0	9	2009.6667
2009	10	82.22	81.34	81.8	1	0	9	2009.75
2009	11	79.17	77.62	78.45	1	0	9	2009.8333
2009	12	79.87	80.92	80.37	1	0	9	2009.9167
2010	1	74.89	78.04	76.41	1	0	10	2010
2010	2	77.35	74.44	75.96	1	0	10	2010.0833
2010	3	83.39	80.48	82.03	0	1	10	2010.1667
2010	4	82.55	79.36	81.06	0	1	10	2010.25
2010	5	82.51	82.08	82.3	0	1	10	2010.3333
2010	6	86.32	86.08	86.21	0	1	10	2010.4167
2010	7	86.9	86.53	86.72	0	1	10	2010.5
2010	8	85.2	85.51	85.35	0	1	10	2010.5833
2010	9	79.81	82.88	81.31	1	0	10	2010.6667
2010	10	83.32	82.38	82.86	1	0	10	2010.75
2010	11	81.19	78.09	79.73	1	0	10	2010.8333
2010	12	80.85	80	80.44	1	0	10	2010.9167
2011	1	76.55	76.92	76.73	1	0	11	2011
2011	2	77.92	71.97	75.01	1	0	11	2011.0833
2011	3	82.7	76.66	79.81	0	1	11	2011.1667
2011	4	82.13	78.86	80.52	0	1	11	2011.25
2011	5	84.58	82.12	83.37	0	1	11	2011.3333
2011	6	85.98	84.96	85.48	0	1	11	2011.4167
2011	7	87.14	86.05	86.6	0	1	11	2011.5
2011	8	85.59	85.2	85.39	0	1	11	2011.5833
2011	9	81.82	81.07	81.44	1	0	11	2011.6667
2011	10	83.63	79.49	81.56	1	0	11	2011.75
2011	11	83.48	77.67	80.66	1	0	11	2011.8333
2011	12	81.11	79.27	80.21	1	0	11	2011.9167
2012	1	78.02	77.77	77.89	1	0	12	2012
2012	2	78.9	72.53	75.75	1	0	12	2012.0833
2012	3	84.43	79.82	82.19	0	1	12	2012.1667
2012	4	83.61	80.59	82.12	0	1	12	2012.25
2012	5	84.45	82.28	83.36	0	1	12	2012.3333
