Model Year	Region	Highway.FE 
2021	Europe	24
2021	Europe	24
2021	Europe	26
2021	Europe	27
2021	Asia	30
2021	Europe	37
2021	US	38
2021	US	37
2021	US	37
2021	Asia	25
2021	Europe	37
2021	Europe	37
2021	Europe	37
2021	Europe	33
2021	Europe	30
2021	Asia	28
2021	Asia	26
2021	Asia	34
2021	Asia	40
2021	Asia	37
2021	Europe	32
2021	Europe	34
2021	Europe	28
2021	Asia	49
2021	Asia	33
2021	Asia	31
2021	Asia	36
2021	Europe	24
2021	Europe	24
2021	Asia	37
2021	Asia	32
2021	Asia	33
2021	Asia	31
2021	Asia	35
2021	Europe	31
2021	Europe	34
2021	Europe	32
2021	US	25
2021	US	25
2021	US	24
2021	US	24
2021	US	18
2021	US	24
2021	US	24
2021	Asia	24
2021	US	30
2021	US	32
2021	US	31
2021	US	31
2021	Asia	27
2021	Asia	32
2021	Asia	33
2021	Asia	28
2021	Europe	24
2021	Europe	29
2021	Europe	24
2021	Europe	19
2021	US	29
2021	US	29
2021	US	30
2021	US	29
2021	Asia	26
2021	Asia	30
2021	Asia	30
2021	Asia	31
2021	Asia	25
2021	Asia	24
2021	Asia	33
2021	Europe	24
2021	Europe	30
2021	Europe	27
2021	Europe	28
2021	US	20
2021	US	20
2021	US	20
2021	US	20
2021	US	20
2021	US	20
2021	Asia	26
2021	US	19
2021	US	19
2021	US	20
2021	US	19
2021	US	19
2021	US	19
2021	Europe	29
2021	Europe	21
2021	Europe	28
2021	Europe	19
2021	Asia	27
