State	Total_2012	Male_2012	Femaie_2012	Total_2013	Male_2013	Female_2013	Total_2014	Male_2014	Female_2014
Alabama	32431	29782	2649	32381	29660	2721	31771	29182	2589
Alaska	5633	4934	699	5081	4450	631	5216	4568	648
Arizona	40080	36447	3633	41104	37332	3772	42259	38295	3964
Arkansas	14654	13594	1060	17235	15904	1331	17874	16476	1398
California	134534	128436	6098	135981	129684	6297	136088	129706	6382
Colorado	20462	18739	1723	20371	18556	1815	20646	18738	1908
Connecticut	17530	16312	1218	17563	16328	1235	16636	15510	1126
Delaware	6914	6348	566	7004	6405	599	6955	6361	594
Florida	101930	94945	6985	103028	95757	7271	102870	95567	7303
Georgia	55457	51868	3589	54004	50445	3559	52949	49438	3511
Hawaii	5831	5143	688	5632	4972	660	5866	5198	668
Idaho	7985	6977	1008	7549	6523	1026	8117	7080	1037
Illinois	49348	46599	2749	48653	45737	2916	48278	45390	2888
Indiana	28831	26265	2566	29913	27078	2835	29271	26396	2875
Iowa	8733	7949	784	8697	7983	714	8838	8086	752
Kansas	9682	8952	730	9763	9026	737	9663	8881	782
Kentucky	22110	19425	2685	21030	18717	2313	21657	19084	2573
Louisiana	40172	37783	2389	39299	37071	2228	38030	35955	2075
Maine	2108	1944	164	2173	2013	160	2242	2063	179
Maryland	21522	20646	876	21335	20410	925	21011	20100	911
Massachusetts	11308	10549	759	10950	10143	807	10713	9985	728
Michigan	43636	41647	1989	43759	41700	2059	43390	41267	2123
Minnesota	9938	9228	710	10289	9566	723	10637	9901	736
Mississippi	22319	20652	1667	21969	20352	1617	18793	17448	1345
Missouri	31247	28544	2703	31537	28755	2782	31942	28836	3106
Montana	3609	3210	399	3642	3230	412	3699	3311	388
Nebraska	4705	4352	353	5026	4656	370	5441	5001	440
Nevada	12883	11845	1038	13056	11971	1085	12537	11452	1085
New Hampshire	2790	2583	207	3018	2781	237	2963	2715	248
New Jersey	23225	22164	1061	22452	21427	1025	21590	20571	1019
New Mexico	6727	6096	631	6849	6195	654	7021	6348	673
New York	54210	51963	2247	53550	51193	2357	52518	50192	2326
North Carolina	37136	34675	2461	36922	34430	2492	37096	34455	2641
North Dakota	1512	1341	171	1513	1356	157	1718	1514	204
Ohio	50876	47008	3868	51729	47579	4150	51519	47311	4208
Oklahoma	25225	22728	2497	27547	24769	2778	27650	24799	2851
Oregon	14840	13609	1231	15362	14066	1296	15075	13799	1276
Pennsylvania	51125	48380	2745	50312	47668	2644	50694	47936	2758
Rhode Island	3318	3128	190	3361	3169	192	3359	3201	158
South Carolina	22388	21051	1337	22060	20669	1391	21401	20032	1369
South Dakota	3650	3227	423	3651	3209	442	3608	3199	409
Tennessee	28411	26048	2363	28521	26069	2452	28769	26160	2609
Texas	166372	152823	13549	168280	154450	13830	166043	151717	14326
Utah	6962	6323	639	7075	6413	662	7026	6364	662
Vermont	2034	1907	127	2078	1924	154	1979	1823	156
Virginia	37044	34150	2894	36982	34133	2849	37544	34529	3015
Washington	17271	15934	1337	17984	16535	1449	18120	16666	1454
West Virginia	7070	6265	805	6824	6016	808	6896	6065	831
Wisconsin	22600	21375	1225	22471	21232	1239	22597	21219	1378
Wyoming	2204	1966	238	2310	2050	260	2383	2106	277
