Place	Bib#	Name	Country	Time(sec)	Run1	Run2	Total	Behind
1	5	Marcel Hirscher	Austria	138.04	1:08.27	1:09.77	2:18.04	0
2	7	Henrik Kristoffersen	Norway	139.31	1:09.58	1:09.73	2:19.31	1.27
3	1	Alexis Pinturault	France	139.35	1:08.90	1:10.45	2:19.35	1.31
4	12	Zan Kranjec	Slovenia	139.77	1:09.52	1:10.25	2:19.77	1.73
5	11	Thomas Fanara	France	139.83	1:09.22	1:10.61	2:19.83	1.79
6	10	Victor Muffat-Jeandet	France	139.85	1:09.44	1:10.41	2:19.85	1.81
7	3	Mathieu Faivre	France	139.99	1:09.06	1:10.93	2:19.99	1.95
8	13	Leif Kristian Nestvold-Haugen	Norway	140.23	1:08.93	1:11.30	2:20.23	2.19
9	17	Loc Meillard	Switzerland	140.45	1:09.77	1:10.68	2:20.45	2.41
10	2	Matts Olsson	Sweden	140.7	1:09.31	1:11.39	2:20.70	2.66
11	36	Ryan Cochran-Siegle	United States	140.74	1:10.75	1:09.99	2:20.74	2.7
11	27	Erik Read	Canada	140.74	1:10.18	1:10.56	2:20.74	2.7
13	14	Manfred Mlgg	Italy	141.04	1:10.03	1:11.01	2:21.04	3
14	15	Florian Eisath	Italy	141.18	1:10.46	1:10.72	2:21.18	3.14
15	19	Gino Caviezel	Switzerland	141.25	1:09.99	1:11.26	2:21.25	3.21
15	9	Ted Ligety	United States	141.25	1:10.71	1:10.54	2:21.25	3.21
17	32	Samu Torsti	Finland	141.37	1:10.93	1:10.44	2:21.37	3.33
18	35	Phil Brown	Canada	141.51	1:11.30	1:10.38	2:21.51	3.47
19	54	Luca Aerni	Switzerland	141.62	1:11.40	1:10.22	2:21.62	3.58
20	22	Tommy Ford	United States	141.63	1:11.43	1:10.20	2:21.63	3.59
21	42	Stefan Hadalin	Slovenia	141.66	1:11.53	1:10.13	2:21.66	3.62
22	30	Linus Stra§er	Germany	141.67	1:11.54	1:10.13	2:21.67	3.63
23	21	Andr Myhrer	Sweden	141.69	1:09.60	1:12.09	2:21.69	3.65
24	20	Filip Zubi	Croatia	141.84	1:10.95	1:10.89	2:21.84	3.8
25	33	Adam Zampa	Slovakia	141.86	1:11.40	1:10.46	2:21.86	3.82
26	24	Fritz Dopfer	Germany	142.07	1:10.69	1:11.38	2:22.07	4.03
27	28	Trevor Philp	Canada	142.55	1:11.13	1:11.25	2:22.55	4.51
28	43	Albert Popov	Bulgaria	143.6	1:12.39	1:11.21	2:23.60	5.56
29	41	James Crawford	Canada	144.12	1:11.74	1:12.38	2:24.12	6.08
30	47	Tomoya Ishii	Japan	144.78	1:12.43	1:12.35	2:24.78	6.74
31	63	Filip Forejtek	Czech Republic	146.07	1:12.91	1:13.16	2:26.07	8.03
32	49	Sam Maes	Belgium	146.2	1:13.29	1:12.91	2:26.20	8.16
33	40	Dominic Demschar	Australia	146.75	1:13.21	1:13.54	2:26.75	8.71
34	38	Adam Barwood	New Zealand	147.22	1:13.41	1:13.81	2:27.22	9.18
35	55	Kristaps Zvejnieks	Latvia	148.27	1:13.81	1:14.46	2:28.27	10.23
36	34	Willis Feasey	New Zealand	148.28	1:14.48	1:13.80	2:28.28	10.24
37	57	Samuel Kolega	Croatia	148.74	1:14.61	1:14.13	2:28.74	10.7
38	68	Olivier Jenot	Monaco	149.09	1:14.93	1:14.16	2:29.09	11.05
39	73	Kim Dong-woo	South Korea	150.05	1:14.49	1:15.56	2:30.05	12.01
40	79	Tormis Laine	Estonia	150.88	1:15.70	1:15.18	2:30.88	12.84
41	71	Marko Vukicevic	Serbia	151.35	1:14.64	1:16.71	2:31.35	13.31
42	80	Mrton Kkesi	Hungary	151.86	1:16.64	1:15.22	2:31.86	13.82
