Rank	Bib	Name	Country	Downhill	Downhill Sec	Rank 2	Slalom	Rank 3	Total	Behind	Total Sec	Z Downhill	Z Slalom	Z Total
1	2	Marcel Hirscher	Austria	1:20.56	80.56	12	45.96	1	2:06.52	—	126.52	-0.821953948	-1.163773085	-1.985727033
2	7	Alexis Pinturault	France	1:20.28	80.28	10	46.47	3	2:06.75	+0.23	126.75	-1.001960514	-1.021302616	-2.02326313
3	5	Victor Muffat-Jeandet	France	1:21.57	81.57	29	45.97	2	2:07.54	+1.02	127.54	-0.172644547	-1.160979547	-1.333624094
4	23	Marco Schwarz	Austria	1:20.98	80.98	19	46.89	5	2:07.87	+1.35	127.87	-0.551944098	-0.903973994	-1.455918092
5	27	Ted Ligety	United States	1:21.36	81.36	26	46.61	4	2:07.97	+1.45	127.97	-0.307649472	-0.982193076	-1.289842547
6	14	Thomas Mermillod-Blondin	France	1:20.89	80.89	17	47.13	6	2:08.02	+1.50	128.02	-0.609803351	-0.836929068	-1.446732419
7	19	Kjetil Jansrud	Norway	1:19.51	79.51	4	49.16	19	2:08.67	+2.15	128.67	-1.496978572	-0.26984073	-1.766819302
8	33	Štefan Hadalin	Slovenia	1:21.15	81.15	21	47.79	7	2:08.94	+2.42	128.94	-0.442654397	-0.652555519	-1.095209916
9	1	Thomas Dreßen	Germany	1:19.24	79.24	1	49.72	24	2:08.96	+2.44	128.96	-1.670556333	-0.113402567	-1.7839589
10	29	Klemen Kosi	Slovenia	1:20.61	80.61	16	48.76	15	2:09.37	+2.85	129.37	-0.789809918	-0.381582274	-1.171392192
11	6	Luca Aerni	Switzerland	1:21.34	81.34	25	48.18	11	2:09.52	+3.00	129.52	-0.320507084	-0.543607514	-0.864114597
12	32	Filip Zubčić	Croatia	1:21.54	81.54	28	48.06	8	2:09.60	+3.05	129.6	-0.191930965	-0.577129977	-0.769060942
12	13	Mauro Caviezel	Switzerland	1:20.47	80.47	11	49.13	18	2:09.60	+3.05	129.6	-0.879813201	-0.278221346	-1.158034547
14	25	Christof Innerhofer	Italy	1:19.77	79.77	5	49.98	25	2:09.75	+3.23	129.75	-1.329829618	-0.040770564	-1.370600181
15	30	Carlo Janka	Switzerland	1:20.58	80.58	14	49.22	20	2:09.80	+3.28	129.8	-0.809096336	-0.253079498	-1.062175834
16	34	Ondřej Berndt	Czech Republic	1:21.81	81.81	34	48.1	10	2:09.91	+3.39	129.91	-0.018353204	-0.565955822	-0.584309027
17	16	Bryce Bennett	United States	1:21.18	81.18	23	48.79	16	2:09.97	+3.45	129.97	-0.423367979	-0.373201658	-0.796569637
18	24	Riccardo Tonetti	Italy	1:21.99	81.99	38	48.22	12	2:10.21	+3.69	130.21	0.097365303	-0.532433359	-0.435068056
19	21	Natko Zrnčić-Dim	Croatia	1:22.07	82.07	40	48.48	13	2:10.55	+4.03	130.55	0.1487957506	-0.459801355	-0.311005605
20	47	James Crawford	Canada	1:21.97	81.97	37	48.8	17	2:10.77	+4.25	130.77	0.0845076911	-0.37040812	-0.285900429
21	17	Aleksander Aamodt Kilde	Norway	1:20.92	80.92	18	50.15	26	2:11.07	+4.55	131.07	-0.590516933	0.0067195929	-0.583797341
22	40	Adam Žampa	Slovakia	1:23.02	83.02	51	48.08	9	2:11.10	+4.58	131.1	0.7595323157	-0.5715429	0.1879894159
23	12	Broderick Thompson	Canada	1:21.75	81.75	33	49.63	23	2:11.38	+4.86	131.38	-0.05692604	-0.138544415	-0.195470455
24	37	Andreas Romar	Finland	1:21.94	81.94	35	49.58	22	2:11.52	+5.00	131.52	0.0652212732	-0.152512108	-0.087290835
25	35	Marko Vukićević	Serbia	1:21.31	81.31	24	50.43	27	2:11.74	+5.22	131.74	-0.339793501	0.084938674	-0.254854827
26	50	Kristaps Zvejnieks	Latvia	1:23.02	83.02	51	48.74	14	2:11.76	+5.24	131.76	0.7595323157	-0.387169351	0.3723629643
27	38	Joan Verdu Sanchez	Andorra	1:23.01	83.01	50	49.53	21	2:12.54	+6.02	132.54	0.7531035097	-0.166479801	0.5866237087
28	54	Olivier Jenot	Monaco	1:22.71	82.71	47	50.73	28	2:13.44	+6.92	133.44	0.5602393313	0.1687448323	0.7289841636
29	51	Marc Oliveras	Andorra	1:21.67	81.67	31	52.97	30	2:14.64	+8.12	134.64	-0.108356487	0.7944974813	0.686140994
30	41	Christoffer Faarup	Denmark	1:21.08	81.08	20	54.13	34	2:15.21	+8.69	135.21	-0.487656038	1.1185479603	0.630891922
