SCHOOL	DISTRICT	CHARTER	ACT.COMPOSITE	TEST.TAKERS
Wausau Engineering and Global Leadership Academy	Wausau	Yes	26	7
Waukesha Engineering Preparatory Academy	Waukesha	Yes	25.77	43
Kohler High	Kohler	No	25.23	60
Tesla Engineering Charter School	Appleton Area	Yes	24.93	30
Lakeview Technology Academy	Kenosha	No	24.66	102
Whitefish Bay High	Whitefish Bay	No	24.6	214
Kettle Moraine Global School for Global Leadership and Innovation	Kettle Moraine	Yes	24.18	22
Homestead High	Mequon-Thiensville	No	24.05	334
Middleton High	Middleton-Cross Plains Area	No	23.95	490
Cedarburg High	Cedarburg	No	23.93	280
Central High	Elmbrook	No	23.93	317
Eisenhower Middle/High	New Berlin	No	23.83	201
East High	Elmbrook	No	23.72	295
Shorewood High	Shorewood	No	23.61	148
Oostburg High	Oostburg	No	23.58	71
High School of Health Sciences	Kettle Moraine	Yes	23.48	44
Platteville High	Platteville	No	23.16	101
Arrowhead High	Arrowhead UHS	No	23.15	541
Pewaukee High	Pewaukee	No	23.02	227
Waunakee High	Waunakee Community	No	22.99	310
West High	Madison Metropolitan	No	22.98	509
Green Lake High	Green Lake	No	22.94	16
Grafton High	Grafton	No	22.77	168
West De Pere High	West De Pere	No	22.41	228
Sevastopol High	Sevastopol	No	22.4	45
Hamilton High	Hamilton	No	22.37	328
New Richmond High	New Richmond	No	22.24	191
Marathon High	Marathon City	No	22.22	60
Deerfield High	Deerfield Community	No	22.2	35
Shullsburg High	Shullsburg	No	22.2	26
Nicolet High	Nicolet UHS	No	22.13	234
Monona Grove High	Monona Grove	No	22.08	230
Greendale High	Greendale	No	22.06	217
Cambridge High	Cambridge	No	21.98	55
Memorial High	Madison Metropolitan	No	21.94	416
Muskego High	Muskego-Norway	No	21.93	369
Germantown High	Germantown	No	21.93	321
Wrightstown High	Wrightstown Community	No	21.93	121
Hayward Ctr for Individualized Learning	Hayward Community	Yes	21.92	15
East High	Wauwatosa	No	21.91	257
Mineral Point High	Mineral Point Unified	No	21.89	45
Walden III High	Racine Unified	No	21.89	62
Menomonee Falls High	Menomonee Falls	No	21.88	298
De Pere High	De Pere	No	21.87	326
River Falls High	River Falls	No	21.85	219
Waukesha Academy of Health Professions	Waukesha	Yes	21.83	29
Valley New School	Appleton Area	Yes	21.8	10
Onalaska High	Onalaska	No	21.76	236
Gibraltar High	Gibraltar Area	No	21.72	44
New Glarus High	New Glarus	No	21.72	59
Slinger High	Slinger	No	21.7	258
West High	Waukesha	No	21.66	263
Memorial High	Eau Claire Area	No	21.64	380
Mount Horeb High	Mount Horeb Area	No	21.62	187
Winneconne High	Winneconne Community	No	21.57	128
Renaissance School	Appleton Area	Yes	21.56	43
Gilmanton High	Gilmanton	No	21.55	12
New Berlin Middle/High	New Berlin	No	21.5	176
Benton High	Benton	No	21.47	17
McFarland High	McFarland	No	21.45	187
Lumen Charter High	Ripon Area	Yes	21.43	7
Freedom High	Freedom Area	No	21.34	122
Hudson High	Hudson	No	21.34	438
Sun Prairie High	Sun Prairie Area	No	21.32	503
Waterford High	Waterford UHS	No	21.29	264
Mukwonago High	Mukwonago	No	21.28	376
Kettle Moraine High	Kettle Moraine	No	21.26	230
Lodi High	Lodi	No	21.25	115
West Salem High	West Salem	No	21.25	118
Port Washington High	Port Washington-Saukville	No	21.2	188
Osceola High	Osceola	No	21.19	113
Belleville High	Belleville	No	21.18	61
School for Arts and Performance	Kettle Moraine	Yes	21.17	36
Marshfield High	Marshfield Unified	No	21.16	260
Lake Mills High	Lake Mills Area	No	21.15	89
Bridges Virtual Academy	Merrill Area	Yes	21.14	34
Dodgeville High	Dodgeville	No	21.12	116
Rib Lake High	Rib Lake	No	21.12	33
Prairie du Chien High	Prairie du Chien Area	No	21.11	83
Central High	Central/Westosha UHS	No	21.11	266
Amery High	Amery	No	21.09	114
Sturgeon Bay High	Sturgeon Bay	No	21.09	93
Bay Port High	Howard-Suamico	No	21.08	462
Saint Croix Central High	Saint Croix Central	No	21.07	97
Little Chute Career Pathways Academy	Little Chute Area	Yes	21.03	35
Saint Croix Falls High	Saint Croix Falls	No	21.01	84
Highland Community High	Highland	Yes	21	19
Wisconsin Heights High	Wisconsin Heights	No	20.98	55
Franklin High	Franklin Public	No	20.96	360
Pardeeville High	Pardeeville Area	No	20.95	44
Hilbert High	Hilbert	No	20.95	43
Elkhorn Area High	Elkhorn Area	No	20.95	216
Cuba City High	Cuba City	No	20.93	57
Randolph High	Randolph	No	20.93	42
Baldwin-Woodville High	Baldwin-Woodville Area	No	20.91	104
Hortonville High	Hortonville Area	No	20.89	253
Verona Area High	Verona Area	No	20.89	405
Frederic 6-12 School	Frederic	No	20.88	26
Oregon High	Oregon	No	20.88	267
River Valley High	River Valley	No	20.87	108
Pepin High	Pepin Area	No	20.83	12
Endeavor Charter School	Watertown Unified	Yes	20.82	11
Reagan College Preparatory High	Milwaukee	No	20.82	297
Lancaster High	Lancaster Community	No	20.79	62
North High	Appleton Area	No	20.78	406
Kimberly High	Kimberly Area	No	20.75	384
Williams Bay High	Williams Bay	No	20.75	48
Laconia High	Rosendale-Brandon	No	20.74	86
Spring Valley High	Spring Valley	No	20.73	63
Oconomowoc High	Oconomowoc Area	No	20.71	406
West High	West Bend	No	20.71	288
Mosinee High	Mosinee	No	20.7	143
Cedar Grove-Belgium High	Cedar Grove-Belgium Area	No	20.68	71
Darlington High	Darlington Community	No	20.66	53
De Forest High	De Forest Area	No	20.66	251
Northland Pines High	Northland Pines	No	20.65	95
River Ridge High	River Ridge	No	20.62	48
Elk Mound High	Elk Mound Area	No	20.6	76
East High	West Bend	No	20.59	258
Albany High	Albany	No	20.58	19
Neenah High	Neenah Joint	No	20.52	481
Southwestern Wisconsin High	Southwestern Wisconsin	No	20.5	42
Rosholt High	Rosholt	No	20.5	38
Brillion High	Brillion	No	20.46	72
Barneveld High	Barneveld	No	20.45	33
Three Lakes High	Three Lakes	No	20.45	34
Laurel High	Viroqua Area	Yes	20.45	11
Ashwaubenon High	Ashwaubenon	No	20.44	238
Waupaca High	Waupaca	No	20.44	174
Poynette High	Poynette	No	20.43	75
Holmen High	Holmen	No	20.42	256
Whitnall High	Whitnall	No	20.42	195
Plymouth High	Plymouth Joint	No	20.4	183
Turtle Lake High	Turtle Lake	No	20.38	37
Gilman High	Gilman	No	20.38	32
East High	Wausau	No	20.38	227
Prescott High	Prescott	No	20.37	94
Florence High	Florence County	No	20.36	26
Logan High	La Crosse	No	20.35	147
Rice Lake High	Rice Lake Area	No	20.34	142
Milton High	Milton	No	20.34	259
Mayville High	Mayville	No	20.32	84
Clark Street Community School	Middleton-Cross Plains Area	Yes	20.28	23
Greenwood High	Greenwood	No	20.28	25
Stevens Point Area Senior High	Stevens Point Area Public	No	20.28	483
Princeton School	Princeton	No	20.27	31
Rock University High	Janesville	Yes	20.25	8
West High	Wauwatosa	No	20.25	283
Elkhart Lake High	Elkhart Lake-Glenbeulah	No	20.24	34
Ellsworth High	Ellsworth Community	No	20.24	118
D C Everest High	D C Everest Area	No	20.23	380
Chilton High	Chilton	No	20.2	87
Fall Creek High	Fall Creek	No	20.18	55
Markesan High	Markesan	No	20.18	45
De Soto High	De Soto Area	No	20.17	30
Weyauwega High	Weyauwega-Fremont	No	20.15	61
Fox Cities Leadership Academy	Appleton Area	Yes	20.14	21
Wilmot High	Wilmot UHS	No	20.14	244
Baraboo High	Baraboo	No	20.12	222
New Holstein High	New Holstein	No	20.12	91
Badger High	Lake Geneva-Genoa City UHS	No	20.11	316
Chetek-Weyerhaeuser High	Chetek-Weyerhaeuser Area	No	20.11	48
Kaukauna High	Kaukauna Area	No	20.11	281
Lincoln High	Wisconsin Rapids	No	20.1	324
Niagara High	Niagara	No	20.07	28
Plum City High	Plum City	No	20.07	15
Random Lake High	Random Lake	No	20.06	69
Wild Rose High	Wild Rose	No	20.06	51
Lakeland High	Lakeland UHS	No	20.04	171
Edgerton High	Edgerton	No	20.03	117
Cameron High	Cameron	No	20.03	67
Pulaski High	Pulaski Community	No	20.02	264
Howards Grove High	Howards Grove	No	20.01	73
Crivitz High	Crivitz	No	20	56
Prentice High	Prentice	No	20	35
Etude High	Sheboygan Area	Yes	20	10
Hartford High	Hartford UHS	No	19.99	298
Monroe High	Monroe	No	19.99	178
Richland Center High	Richland	No	19.97	92
Oak Creek High	Oak Creek-Franklin Joint	No	19.97	499
Medford High	Medford Area Public	No	19.94	143
Tigerton High	Tigerton	No	19.89	9
Algoma High	Algoma	No	19.89	61
Sheboygan Falls High	Sheboygan Falls	No	19.89	120
Coleman High	Coleman	No	19.88	61
Belmont High	Belmont Community	No	19.88	25
King International	Milwaukee	No	19.86	351
Auburndale High	Auburndale	No	19.86	60
Glenwood City High	Glenwood City	No	19.86	58
Portage High	Portage Community	No	19.84	176
Northwestern High	Maple	No	19.83	105
Oconto Falls High	Oconto Falls Public	No	19.82	125
Southern Door High	Southern Door County	No	19.82	72
Union Grove High	Union Grove UHS	No	19.82	240
Stratford High	Stratford	No	19.82	81
Owen-Withee High	Owen-Withee	No	19.81	44
Cochrane-Fountain City High	Cochrane-Fountain City	No	19.8	47
Fennimore High	Fennimore Community	No	19.8	66
North High	Waukesha	No	19.79	293
Menomonie High	Menomonie Area	No	19.73	218
Big Foot High	Big Foot UHS	No	19.73	103
Boscobel High	Boscobel Area	No	19.7	44
Burlington High	Burlington Area	No	19.7	266
Mauston High	Mauston	No	19.69	87
Potosi High	Potosi	No	19.69	26
Iola-Scandinavia High	Iola-Scandinavia	No	19.69	46
Valders High	Valders Area	No	19.68	78
Elmwood High	Elmwood	No	19.68	23
Boyceville High	Boyceville Community	No	19.67	42
Spooner High	Spooner Area	No	19.65	84
Galesville-Ettrick-Trempealeau High	Galesville-Ettrick-Trempealeau	No	19.65	95
West High	Oshkosh Area	No	19.64	394
