Year	Temp	CO2 
1958	0.06	315.86
1959	0.03	316.54
1960	-0.03	318.18
1961	0.06	318.57
1962	0.03	319.61
1963	0.05	319.74
1964	-0.20	320.44
1965	-0.11	321.21
1966	-0.06	322.38
1967	-0.02	322.54
1968	-0.08	324.14
1969	0.05	325.88
1970	0.03	326.34
1971	-0.08	327.36
1972	0.01	328.04
1973	0.16	330.87
1974	-0.07	331.18
1975	-0.01	331.90
1976	-0.10	333.05
1977	0.18	334.92
1978	0.07	336.54
1979	0.16	337.73
1980	0.26	339.56
1981	0.32	340.49
1982	0.14	342.06
1983	0.31	343.98
1984	0.16	345.39
1985	0.12	346.56
1986	0.18	347.94
1987	0.32	349.51
1988	0.39	352.38
1989	0.27	353.90
1990	0.45	354.81
1991	0.41	356.17
1992	0.22	357.02
1993	0.23	357.57
1994	0.32	359.55
1995	0.45	361.89
1996	0.33	363.65
1997	0.46	364.47
1998	0.61	367.64
1999	0.39	369.27
2000	0.40	370.12
2001	0.54	371.62
2002	0.63	374.02
2003	0.62	376.60
2004	0.54	377.76
2005	0.68	380.66
2006	0.64	382.28
2007	0.67	384.44
2008	0.55	386.25
2009	0.66	388.07
2010	0.73	390.33
2011	0.61	392.59
2012	0.65	394.52
2013	0.68	397.37
2014	0.75	399.07
2015	0.90	401.61
2016	1.02	404.50
2017	0.93	407.20
2018	0.86	408.90
2019	0.99	411.85
