Year	Years.since.1985	Fires	Acres	Acres/Fire
2015	32	68,151	10,125,149	148.56934
2014	31	63,312	3,595,613	56.791967
2013	30	47,579	4,319,546	90.786818
2012	29	67,774	9,326,238	137.60790
2011	28	74,126	8,711,367	117.52107
2010	27	71,971	3,422,724	47.556988
2009	26	78,792	5,921,786	75.157199
2008	25	78,979	5,292,468	67.011079
2007	24	85,705	9,328,045	108.83898
2006	23	96,385	9,873,745	102.44068
2005	22	66,753	8,689,389	130.17226
2004	21	65,461	8,097,880	123.70541
2003	20	63,629	3,960,842	62.249006
2002	19	73,457	7,184,712	97.808405
2001	18	84,079	3,570,911	42.470902
2000	17	92,250	7,393,493	80.146266
1999	16	92,487	5,626,093	60.831176
1998	15	81,043	1,329,704	16.407389
1997	14	66,196	2,856,959	43.159088
1996	13	96,363	6,065,998	62.949452
1995	12	82,234	1,840,546	22.381813
1994	11	79,107	4,073,579	51.494545
1993	10	58,810	1,797,574	30.565788
1992	9	87,394	2,069,929	23.685024
1991	8	75,754	2,953,578	38.989070
1990	7	66,481	4,621,621	69.517922
1989	6	48,949	1,827,310	37.330895
1988	5	72,750	5,009,290	68.856220
1987	4	71,300	2,447,296	34.323927
1986	3	85,907	2,719,162	31.652392
1985	2	82,591	2,896,147	35.066133
