Year	CPI	Player	Salary in Nominal $	Salary in 2019$
1874	11.4	Fergus Malone (Chi NA)	2800	62754
1875	11	Rich Higham (Chi NL)	2200	51100
1876	10.7	Al Spalding (Chi NL)	4000	95514
1877	10.5	Al Spalding (Chi NL)	2900	70567
1878	10	Bob Ferguson (Chi NL)	3700	94535
1879	10	Frank Flint (Chi NL)	1800	45990
1880	10.2	Adrian Anson (Chi NL)	1800	45088
1881	10.2	Jim O’Rourke (Buf NL)	2000	50098
1882	10.2	Monte Ward (Prov NL)	2400	60118
1883	10.1	Buck Ewing (NY NL)	3100	78421
1884	9.8	Buck Ewing (NY NL)	3100	80821
1885	9.7	Jim O’Rourke (NY NL)	4500	118531
1886	9.4	Fred Dunlap (StL/Det NL)	4500	122314
1887	9.5	Fred Dunlap (Det NL)	4500	121026
1888	9.5	Fred Dunlap (Pit NL)	5000	134474
1889	9.2	Fred Dunlap (Pit NL)	5000	138859
1890	9.1	Hardy Richardson (Bos PL)	4000	112308
1891	9.1	Paul Cook (Lou/StL AA)	2000	56154
1892	9.1	Joe Gunson (Bal NL)	2800	78615
1895	8.4	Jack Glasscock (Lou/Was NL)	2400	73000
1899	8.3	Victor Willis (Bos NL)	1800	55410
1904	8.9	Joe McGinnity (NY NL)	5000	143539
1906	9	Nap Lajoie (Cle AL)	8500	241306
1907	9.4	Nap Lajoie (Cle AL)	8500	231037
1908	9.2	Nap Lajoie (Cle AL)	8500	236060
1909	9.1	Nap Lajoie (Cle AL)	9000	252692
1910	9.5	Ty Cobb (Det AL)	9000	242053
1911	9.5	Ty Cobb (Det AL)	9000	242053
1912	9.7	Roger Bresnahan (StL NL)	10000	263402
1913	9.9	Fred Clarke (Pit NL)	15000	387121
1914	10	Ty Cobb (Det AL)	15000	383250
1915	10.1	Fred Clarke (Pit NL)	15050	380720
1916	10.9	Ty Cobb (Det AL)	20000	468807
1917	12.8	Ty Cobb (Det AL)	20000	399219
1918	15.1	Ty Cobb (Det AL)	20000	338411
1919	17.3	Ty Cobb (Det AL)	20000	295376
1920	20	Ty Cobb (Det AL)	20000	255500
1921	17.9	Ty Cobb (Det AL)	25000	356844
1922	16.8	Babe Ruth (NY AL)	52000	790833
1923	17.1	Babe Ruth (NY AL)	52000	776959
1924	17.1	Babe Ruth (NY AL)	52000	776959
1925	17.5	Babe Ruth (NY AL)	52000	759200
1926	17.7	Babe Ruth (NY AL)	52000	750621
1927	17.4	Babe Ruth (NY AL)	70000	1027874
1928	17.1	Babe Ruth (NY AL)	70000	1045906
1929	17.1	Babe Ruth (NY AL)	70000	1045906
1930	16.7	Babe Ruth (NY AL)	80000	1223952
1931	15.2	Babe Ruth (NY AL)	80000	1344737
1932	13.7	Babe Ruth (NY AL)	75000	1398723
1933	13	Babe Ruth (NY AL)	52000	1022000
1934	13.4	Babe Ruth (NY AL)	35000	667351
1935	13.7	Lou Gehrig (NY AL)	31000	578139
1936	13.9	Mickey Cochrane (Det AL)	36000	661727
1937	14.4	Mickey Cochrane (Det AL)	36000	638750
1938	14.1	Lou Gehrig (NY AL)	39000	706702
1939	13.9	Lou Gehrig (NY AL)	35000	643345
1940	14	Hank Greenberg (Det AL)	35000	638750
1941	14.7	Hank Greenberg (Det AL)	55000	955952
1942	16.3	Joe DiMaggio (NY AL)	43750	685775
1943	17.3	Joe Cronin (Bos AL)	27000	398757
1944	17.6	Joe Cronin (Bos AL)	27000	391960
1945	18	Lou Boudreau (Cle AL)	25000	354861
1946	19.5	Hank Greenberg (Det AL)	55000	720641
1947	22.3	Hal Newhouser (Det AL)	70000	802018
1948	24.1	Joe DiMaggio (NY AL)	65000	689108
1949	23.8	Joe DiMaggio (NY AL)	100000	1073529
1950	24.1	Joe DiMaggio (NY AL)	100000	1060166
1951	26	Joe DiMaggio (NY AL)	90000	884423
1952	26.5	Ted Williams (Bos AL)	85000	819528
1953	26.7	Ted Williams (Bos AL)	85000	813390
1954	26.9	Ted Williams (Bos AL)	85000	807342
1955	26.8	Ted Williams (Bos AL)	67500	643517
1956	27.2	Yogi Berra (NY AL)	58000	544816
1957	28.1	Yogi Berra (NY AL)	65000	591014
1958	28.9	Mickey Mantle (NY AL)	65000	574654
1959	29.1	Willie Mays (SF NL)	75000	658505
1960	29.6	Willie Mays (SF NL)	80000	690541
1961	29.9	Willie Mays (SF NL)	85000	726338
1962	30.2	Mickey Mantle (NY AL)	90000	761424
1963	30.6	Willie Mays (SF NL)	105000	876716
1964	31	Willie Mays (SF NL)	105000	865403
1965	31.5	Willie Mays (SF NL)	105000	851667
1966	32.4	Sandy Koufax (LA NL)	130000	1025154
1967	33.4	Willie Mays (SF NL)	125000	956213
1968	34.8	Willie Mays (SF NL)	125000	917744
1969	36.7	Willie Mays (SF NL)	135000	939850
1970	38.8	Willie Mays (SF NL)	135000	888982
1971	40.5	Carl Yastrzemski (Bos AL)	167000	1053543
