Country Name	Country Code	Life Exp	Fertility
Afghanistan	AFG	66.026	4.473
Albania	ALB	80.167	1.617
Algeria	DZA	77.938	3.023
Angola	AGO	63.666	5.519
Antigua and Barbuda	ATG	77.983	1.994
Argentina	ARG	79.863	2.261
Armenia	ARM	78.354	1.755
Aruba	ABW	78.507	1.896
Australia	AUS	84.9	1.74
Austria	AUT	84.1	1.47
Azerbaijan	AZE	75.336	1.73
Bahamas	BHS	75.911	1.752
Bahrain	BHR	78.285	1.987
Bangladesh	BGD	74.291	2.036
Barbados	BRB	80.392	1.619
Belarus	BLR	79.4	1.448
Belgium	BEL	83.9	1.62
Belize	BLZ	77.666	2.307
Benin	BEN	63.003	4.836
Bermuda	BMU	85.57	1.6
Bhutan	BTN	71.816	1.975
Bolivia	BOL	74.209	2.73
Bosnia and Herzegovina	BIH	79.72	1.265
Botswana	BWA	72.049	2.874
Brazil	BRA	79.362	1.73
Brunei Darussalam	BRN	76.96	1.848
Bulgaria	BGR	78.6	1.56
Burkina Faso	BFA	61.863	5.189
Burundi	BDI	63.031	5.41
Cape Verde	CPV	76.007	2.274
Cambodia	KHM	71.629	2.503
Cameroon	CMR	60.192	4.572
Canada	CAN	84.1	1.4988
Central African Republic	CAF	54.991	4.721
Chad	TCD	55.4	5.747
Channel Islands	CHI	84.798	1.51
Chile	CHL	82.381	1.649
China	CHN	79.051	1.69
Colombia	COL	79.859	1.807
Comoros	COM	65.9	4.205
Congo (Kinshasa)	COD	61.901	5.919
Congo (Brazzaville)	COG	65.703	4.428
Costa Rica	CRI	82.73	1.754
Cote d'Ivoire	CIV	58.741	4.649
Croatia	HRV	81.4	1.47
Cuba	CUB	80.706	1.618
Cyprus	CYP	82.913	1.329
Czech Republic	CZE	82	1.71
Denmark	DNK	82.9	1.73
Djibouti	DJI	68.778	2.728
Dominican Republic	DOM	77.196	2.346
Ecuador	ECU	79.645	2.427
Egypt	EGY	74.162	3.326
El Salvador	SLV	77.635	2.039
Equatorial Guinea	GNQ	59.587	4.513
Eritrea	ERI	68.162	4.056
Estonia	EST	82.7	1.67
Swaziland	SWZ	63.968	2.99
Ethiopia	ETH	68.165	4.247
Faroe Islands	FRO	84.7	2.5
Fiji	FJI	69.178	2.774
Finland	FIN	84.5	1.41
France	FRA	85.9	1.88
French Polynesia	PYF	79.725	1.941
Gabon	GAB	68.323	3.969
"Gambia, The"	GMB	63.151	5.219
Georgia	GEO	77.989	2.06
Germany	DEU	83.3	1.57
Ghana	GHA	64.852	3.87
Greece	GRC	84.4	1.35
Grenada	GRD	74.941	2.063
Guam	GUM	83.365	2.313
Guatemala	GTM	76.937	2.87
Guinea	GIN	61.666	4.7
Guinea-Bissau	GNB	59.913	4.476
Guyana	GUY	72.972	2.462
Haiti	HTI	65.832	2.935
Honduras	HND	77.378	2.46
Hong Kong	HKG	87.7	1.072
Hungary	HUN	79.6	1.55
Iceland	ISL	84.5	1.71
India	IND	70.692	2.222
Indonesia	IDN	73.748	2.311
Iran	IRN	77.668	2.137
Iraq	IRQ	72.486	3.672
Ireland	IRL	84.1	1.75
Israel	ISR	84.8	3.09
Italy	ITA	85.6	1.29
Jamaica	JAM	75.993	1.979
Japan	JPN	87.32	1.42
Jordan	JOR	76.175	2.761
Kazakhstan	KAZ	77.19	2.84
Kenya	KEN	68.684	3.492
