Country	HDI 2018	Life Exp at Birth	Old Age Ratio	Percentage Old	Mean Yrs Schooling	Poverty Index	GNI/cap	LogG/c
Afghanistan	0.496	64.5	4.8	4.58	3.9	0.413	1823.529	3.26091276
Albania	0.791	78.5	20	16.67	10.1	0.758	11885.508	4.075017754
Algeria	0.759	76.7	10	9.09	8	0.675	13802.013	4.139942434
Andorra	0.857	81.8			10.2	0.708	47573.87	4.677368482
Angola	0.574	60.8	4.3	4.12	5.1	0.498	5789.862	3.762668176
Antigua and Barbuda	0.776	76.9	12.7	11.27	9.3	0.655	20763.644	4.31730358
Argentina	0.83	76.5	17.3	14.75	10.6	0.842	18460.737	4.266249027
Armenia	0.76	74.9	16.5	14.16	11.8	0.759	9143.678	3.961120906
Australia	0.938	83.3	24	19.35	12.7	0.923	43560.058	4.639088447
Austria	0.914	81.4	28.5	22.18	12.6	0.871	45415.101	4.657200286
Azerbaijan	0.754	72.9	8.8	8.09	10.5	0.694	15599.618	4.19311395
Bahamas	0.805	73.8	10.3	9.34	11.5	0.741	26680.624	4.42619599
Bahrain	0.838	77.2	3.1	3.01	9.4	0.738	41579.927	4.618883724
Bangladesh	0.614	72.3	7.7	7.15	6.1	0.513	3676.923	3.56548458
Barbados	0.813	79.1	23.6	19.09	10.6	0.773	15842.943	4.199835851
Belarus	0.817	74.6	21.7	17.83	12.3	0.837	16323.462	4.21281226
Belgium	0.919	81.5	29.3	22.66	11.8	0.893	42156.372	4.624863233
Belize	0.72	74.5	7.3	6.80	9.8	0.691	7165.81	3.855265284
Benin	0.52	61.5	6	5.66	3.8	0.476	2061.433	3.314169238
Bhutan	0.617	71.5	8.8	8.09	3.1	0.441	8064.828	3.906595091
Bolivia	0.703	71.2	11.7	10.47	9	0.69	6714.027	3.826983096
Bosnia and Herzegovina	0.769	77.3	24	19.35	9.7	0.706	11716.021	4.06878013
Botswana	0.728	69.3	6.8	6.37	9.3	0.664	15533.649	4.191273494
Brazil	0.761	75.7	12.8	11.35	7.8	0.689	13755.337	4.138471233
Brunei Darussalam	0.845	75.7	6.8	6.37	9.1	0.703	76427.21	4.883248008
Bulgaria	0.816	74.9	32.7	24.64	11.8	0.805	18740.112	4.272772178
Burkina Faso	0.434	61.2	4.6	4.40	1.6	0.3	1650.092	3.217508184
Burundi	0.423	61.2	4.3	4.12	3.1	0.418	702.256	2.846495515
Cape Verde	0.651	72.8	6.9	6.45	6.2	0.538	5983.138	3.776928988
Cambodia	0.581	69.6	7.1	6.63	4.8	0.476	3412.937	3.533128326
Cameroon	0.563	58.9	5	4.76	6.3	0.564	3314.745	3.52045007
Canada	0.922	82.3	25.8	20.51	13.3	0.891	43433.167	4.637821495
Central African Republic	0.381	52.8	5.3	5.03	4.3	0.353	663.152	2.821612843
Chad	0.401	54	4.9	4.67	2.4	0.288	1750.186	3.24308413
Chile	0.847	80	16.8	14.38	10.4	0.807	21909.501	4.340632486
China	0.758	76.7	15.3	13.27	7.9	0.649	15269.761	4.183832246
Colombia	0.761	77.1	12.4	11.03	8.3	0.683	12937.88	4.111863111
Comoros	0.538	64.1	5.2	4.94	4.9	0.476	1398.798	3.145754851
Congo	0.609	64.3	4.8	4.58	6.5	0.539	5694.221	3.75543432
Congo (Kinshasa)	0.459	60.4	5.9	5.57	6.8	0.495	795.826	2.90081835
Costa Rica	0.794	80.1	13.8	12.13	8.7	0.716	14636.382	4.165433733
Croatia	0.837	78.3	31.4	23.90	11.4	0.796	22162.337	4.34561556
Cuba	0.778	78.7	22.1	18.10	11.8	0.791	7524.4	3.876471875
Cyprus	0.873	80.8	19.7	16.46	12.1	0.811	31567.688	4.499242777
Czech Republic	0.891	79.2	29.9	23.02	12.7	0.892	30588.301	4.485555352
Denmark	0.93	80.8	31.1	23.72	12.6	0.92	47918.492	4.680503139
Djibouti	0.495	66.6	6.9	6.45	4	0.313	3391.747	3.530423456
Dominica	0.724	78.1			7.8	0.62	8343.931	3.921370686
Dominican Republic	0.745	73.9	10.9	9.83	7.9	0.657	13920.994	4.143670254
Ecuador	0.758	76.8	11	9.91	9	0.714	10346.619	4.014798476
Egypt	0.7	71.8	8.6	7.92	7.3	0.608	10354.802	4.015141791
El Salvador	0.667	73.1	12.8	11.35	6.9	0.566	6868.108	3.836837091
Equatorial Guinea	0.588	58.4	4.1	3.94	5.6	0.441	19512.533	4.29031364
Eritrea	0.434	65.9	8.4	7.75	3.9	0.269	1750.459	3.243151942
Estonia	0.882	78.6	30.7	23.49	13	0.881	28993.248	4.462296866
Swaziland	0.608	59.4	6.9	6.45	6.7	0.541	7619.943	3.881951751
Ethiopia	0.47	66.2	6.3	5.93	2.8	0.335	1719.378	3.23537141
Fiji	0.724	67.3	8.4	7.75	10.9	0.764	8324.31	3.920348245
Finland	0.925	81.7	35	25.93	12.4	0.915	41002.271	4.612807911
France	0.891	82.5	32.3	24.41	11.4	0.811	39253.947	4.593883332
Gabon	0.702	66.2	6	5.66	8.3	0.636	16430.69	4.2156558
Gambia	0.466	61.7	4.9	4.67	3.7	0.386	1515.62	3.180590323
Georgia	0.786	73.6	22.8	18.57	12.8	0.856	9186.41	3.963145811
Germany	0.939	81.2	33.1	24.87	14.1	0.946	46135.848	4.664038503
Ghana	0.596	63.8	5.2	4.94	7.2	0.559	4096.174	3.612378374
Greece	0.872	82.1	33.7	25.21	10.5	0.833	24648.097	4.391783393
Grenada	0.763	72.4	14.4	12.59	8.8	0.755	12863.746	4.109367448
Guatemala	0.651	74.1	7.9	7.32	6.5	0.511	7278.142	3.862020543
Guinea	0.466	61.2	5.5	5.21	2.7	0.34	2066.672	3.315271631
Guinea-Bissau	0.461	58	5.1	4.85	3.3	0.402	1551.81	3.190838482
Guyana	0.67	69.8	9.9	9.01	8.5	0.601	7446.546	3.871954874
Haiti	0.503	63.7	8	7.41	5.4	0.445	1665.463	3.221534883
Honduras	0.623	75.1	7.4	6.89	6.6	0.503	4215.294	3.62482785
Hong Kong	0.939	84.7	23.7	19.16	12	0.86	58419.71	4.766559396
Hungary	0.845	76.7	28.8	22.36	11.9	0.816	25392.972	4.404713528
Iceland	0.938	82.9	22.6	18.43	12.5	0.918	45810.196	4.660962148
India	0.647	69.4	9.3	8.51	6.5	0.558	6353.045	3.802981943
Indonesia	0.707	71.5	8.7	8.00	8	0.625	10846.338	4.035283132
Iran	0.797	76.5	8.9	8.17	10	0.743	19130.24	4.281720419
Iraq	0.689	70.5	5.7	5.39	7.3	0.554	17789.248	4.2501576
Ireland	0.942	82.1	21.4	17.63	12.5	0.918	53754.186	4.730412292
Israel	0.906	82.8	19.9	16.60	13	0.876	32711.377	4.514698821
Italy	0.883	83.4	35.6	26.25	10.2	0.793	35299.241	4.547765366
Jamaica	0.726	74.4	13	11.50	9.8	0.692	7845.587	3.894625457
Japan	0.915	84.5	46.2	31.60	12.8	0.85	38986.155	4.5909104
Jordan	0.723	74.4	6.2	5.84	10.5	0.678	8288.463	3.918473995
Kazakhstan	0.817	73.2	11.5	10.31	11.8	0.817	22626.391	4.35461528
Kenya	0.579	66.3	4	3.85	6.6	0.526	2960.8	3.471409028
Kiribati	0.623	68.1	6.5	6.10	7.9	0.59	3041.867	3.483140166
"Korea, South"	0.906	82.8	19.9	16.60	12.2	0.862	35944.709	4.555634978
Kuwait	0.808	75.4	3.4	3.29	7.3	0.625	70523.941	4.848336571
Kyrgyzstan	0.674	71.3	7.1	6.63	10.9	0.734	3255.239	3.512582824
Lao People's Democratic Republic	0.604	67.6	6.4	6.02	5.2	0.481	6070.116	3.783196964
Latvia	0.854	75.2	31.3	23.84	12.8	0.871	25002.465	4.39798283
Lebanon	0.73	78.9	10.5	9.50	8.7	0.604	13377.73	4.126382421
Lesotho	0.518	53.7	7.9	7.32	6.3	0.51	3254.907	3.512538618
Liberia	0.465	63.7	5.8	5.48	4.7	0.422	666.773	2.823977973
Libya	0.708	72.7	6.5	6.10	7.6	0.607	11100.097	4.045326789
Liechtenstein	0.917	80.5			12.5	0.827	97335.75	4.988272378
Lithuania	0.869	75.7	30.1	23.14	13	0.89	28313.597	4.451995043
Luxembourg	0.909	82.1	20.3	16.87	12.2	0.802	65016.327	4.81302243
Madagascar	0.521	66.7	5.3	5.03	6.1	0.493	1357.758	3.132822511
Malawi	0.485	63.8	4.9	4.67	4.6	0.459	1064.417	3.027111603
Malaysia	0.804	76	9.6	8.76	10.2	0.713	26107.27	4.416761461
Maldives	0.719	78.6	4.9	4.67	6.8	0.564	13567.344	4.132494833
Mali	0.427	58.9	5	4.76	2.4	0.29	1952.946	3.290690237
Malta	0.885	82.4	31.1	23.72	11.3	0.818	34395.647	4.536503482
Marshall Islands	0.698	73.9			10.9	0.707	5124.896	3.709685069
Mauritania	0.527	64.7	5.5	5.21	4.6	0.389	3591.761	3.555307454
Mauritius	0.796	74.9	16.2	13.94	9.4	0.73	20189.317	4.305121624
Mexico	0.767	75	10.9	9.83	8.6	0.684	16944.095	4.22901839
