Passengers	Year	Month	Year Numeric	Year since 1990	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
349915	1990	1	1990	0	0	0	0	0	0	0	0	0	0	0	0
329695	1990	2	1990.083333	0.08333300	1	0	0	0	0	0	0	0	0	0	0
389161	1990	3	1990.166667	0.16666700	0	1	0	0	0	0	0	0	0	0	0
456288	1990	4	1990.25	0.25000000	0	0	1	0	0	0	0	0	0	0	0
487582	1990	5	1990.333333	0.33333300	0	0	0	1	0	0	0	0	0	0	0
525004	1990	6	1990.416667	0.41666700	0	0	0	0	1	0	0	0	0	0	0
530800	1990	7	1990.5	0.50000000	0	0	0	0	0	1	0	0	0	0	0
584371	1990	8	1990.583333	0.58333300	0	0	0	0	0	0	1	0	0	0	0
457120	1990	9	1990.666667	0.66666700	0	0	0	0	0	0	0	1	0	0	0
457811	1990	10	1990.75	0.75000000	0	0	0	0	0	0	0	0	1	0	0
471904	1990	11	1990.833333	0.83333300	0	0	0	0	0	0	0	0	0	1	0
472682	1990	12	1990.916667	0.91666700	0	0	0	0	0	0	0	0	0	0	1
471788	1991	1	1991	1	0	0	0	0	0	0	0	0	0	0	0
465014	1991	2	1991.083333	1.0833330	1	0	0	0	0	0	0	0	0	0	0
523667	1991	3	1991.166667	1.1666670	0	1	0	0	0	0	0	0	0	0	0
516343	1991	4	1991.25	1.2500000	0	0	1	0	0	0	0	0	0	0	0
554601	1991	5	1991.333333	1.3333330	0	0	0	1	0	0	0	0	0	0	0
509546	1991	6	1991.416667	1.4166670	0	0	0	0	1	0	0	0	0	0	0
539940	1991	7	1991.5	1.5000000	0	0	0	0	0	1	0	0	0	0	0
600020	1991	8	1991.583333	1.5833330	0	0	0	0	0	0	1	0	0	0	0
490545	1991	9	1991.666667	1.6666670	0	0	0	0	0	0	0	1	0	0	0
504741	1991	10	1991.75	1.7500000	0	0	0	0	0	0	0	0	1	0	0
489761	1991	11	1991.833333	1.8333330	0	0	0	0	0	0	0	0	0	1	0
515285	1991	12	1991.916667	1.9166670	0	0	0	0	0	0	0	0	0	0	1
459579	1992	1	1992	2	0	0	0	0	0	0	0	0	0	0	0
457473	1992	2	1992.083333	2.0833330	1	0	0	0	0	0	0	0	0	0	0
510264	1992	3	1992.166667	2.1666670	0	1	0	0	0	0	0	0	0	0	0
513418	1992	4	1992.25	2.2500000	0	0	1	0	0	0	0	0	0	0	0
524939	1992	5	1992.333333	2.3333330	0	0	0	1	0	0	0	0	0	0	0
572210	1992	6	1992.416667	2.4166670	0	0	0	0	1	0	0	0	0	0	0
614805	1992	7	1992.5	2.5000000	0	0	0	0	0	1	0	0	0	0	0
683024	1992	8	1992.583333	2.5833330	0	0	0	0	0	0	1	0	0	0	0
545942	1992	9	1992.666667	2.6666670	0	0	0	0	0	0	0	1	0	0	0
553405	1992	10	1992.75	2.7500000	0	0	0	0	0	0	0	0	1	0	0
549228	1992	11	1992.833333	2.8333330	0	0	0	0	0	0	0	0	0	1	0
557833	1992	12	1992.916667	2.9166670	0	0	0	0	0	0	0	0	0	0	1
534665	1993	1	1993	3	0	0	0	0	0	0	0	0	0	0	0
502243	1993	2	1993.083333	3.0833330	1	0	0	0	0	0	0	0	0	0	0
594182	1993	3	1993.166667	3.1666670	0	1	0	0	0	0	0	0	0	0	0
630804	1993	4	1993.25	3.2500000	0	0	1	0	0	0	0	0	0	0	0
660361	1993	5	1993.333333	3.3333330	0	0	0	1	0	0	0	0	0	0	0
670489	1993	6	1993.416667	3.4166670	0	0	0	0	1	0	0	0	0	0	0
685281	1993	7	1993.5	3.5000000	0	0	0	0	0	1	0	0	0	0	0
729377	1993	8	1993.583333	3.5833330	0	0	0	0	0	0	1	0	0	0	0
605594	1993	9	1993.666667	3.6666670	0	0	0	0	0	0	0	1	0	0	0
635498	1993	10	1993.75	3.7500000	0	0	0	0	0	0	0	0	1	0	0
613308	1993	11	1993.833333	3.8333330	0	0	0	0	0	0	0	0	0	1	0
631980	1993	12	1993.916667	3.9166670	0	0	0	0	0	0	0	0	0	0	1
583451	1994	1	1994	4	0	0	0	0	0	0	0	0	0	0	0
556067	1994	2	1994.083333	4.0833330	1	0	0	0	0	0	0	0	0	0	0
637880	1994	3	1994.166667	4.1666670	0	1	0	0	0	0	0	0	0	0	0
628794	1994	4	1994.25	4.2500000	0	0	1	0	0	0	0	0	0	0	0
666555	1994	5	1994.333333	4.3333330	0	0	0	1	0	0	0	0	0	0	0
728011	1994	6	1994.416667	4.4166670	0	0	0	0	1	0	0	0	0	0	0
759704	1994	7	1994.5	4.5000000	0	0	0	0	0	1	0	0	0	0	0
801146	1994	8	1994.583333	4.5833330	0	0	0	0	0	0	1	0	0	0	0
683504	1994	9	1994.666667	4.6666670	0	0	0	0	0	0	0	1	0	0	0
733758	1994	10	1994.75	4.7500000	0	0	0	0	0	0	0	0	1	0	0
779163	1994	11	1994.833333	4.8333330	0	0	0	0	0	0	0	0	0	1	0
787692	1994	12	1994.916667	4.9166670	0	0	0	0	0	0	0	0	0	0	1
683900	1995	1	1995	5	0	0	0	0	0	0	0	0	0	0	0
683692	1995	2	1995.083333	5.0833330	1	0	0	0	0	0	0	0	0	0	0
795881	1995	3	1995.166667	5.1666670	0	1	0	0	0	0	0	0	0	0	0
821444	1995	4	1995.25	5.2500000	0	0	1	0	0	0	0	0	0	0	0
823129	1995	5	1995.333333	5.3333330	0	0	0	1	0	0	0	0	0	0	0
897389	1995	6	1995.416667	5.4166670	0	0	0	0	1	0	0	0	0	0	0
900149	1995	7	1995.5	5.5000000	0	0	0	0	0	1	0	0	0	0	0
960799	1995	8	1995.583333	5.5833330	0	0	0	0	0	0	1	0	0	0	0
792645	1995	9	1995.666667	5.6666670	0	0	0	0	0	0	0	1	0	0	0
811645	1995	10	1995.75	5.7500000	0	0	0	0	0	0	0	0	1	0	0
817363	1995	11	1995.833333	5.8333330	0	0	0	0	0	0	0	0	0	1	0
