Date	Yes	Year
1944 Nov	41	1944
1949 Oct	44	1949
1954 Jun	45	1954
1957 Jun	42	1957
1969 Jul 24-29	40	1969
1971 May 14-17	42	1971
1972 Apr 21-24	43	1972
1974 May 10-13	40	1974
1977 Aug 19-22	38	1977
1978 Jan 20-23	36	1978
1981 Jun 26-29	35	1981
1983	38	1983
1985 Jun 7-10	35	1985
1986 Jun 9-16	31	1986
1987 Mar 14-18	30	1987
1988 Jul 1-7	32	1988
1989 Apr 4-9	29	1989
1989 May 15-18	27	1989
1990 Jul 6-8	27	1990
1991 Nov 7-10	28	1991
1994 Jul 15-17	27	1994
1994 Mar 11-13	27	1994
1996 May 9-12	27	1996
1997 Jun 23-24	26	1997
1997 Jun 26-29	26	1997
1997 Mar 24-26	27	1997
1997 May 6-7	25	1997
1997 Sep 25-28	26	1997
1998 Jun 22-23	28	1998
1999 Sep 23-26	23	1999
2000 Nov 13-15	25	2000
2001 Jul 19-22	28	2001
2001 Nov 8-11	26	2001
2002 Jul 9-11	24	2002
2003 Jul 7-9	25	2003
2003 Nov 3-5	26	2003
2004 Jul 8-11	25	2004
2004 Nov 7-10	22	2004
2005 Jul 7-10	25	2005
2005 Nov 7-10	25	2005
2006 Jul 6-9	25	2006
2006 Nov 9-12	23	2006
2007 Aug 3-5	24	2007
2007 Jul 12-15	21	2007
2007 Nov 11-14	20	2007
2008 Jul 10-13	21	2008
2009 Jun 14-17	20	2009
2010 Jul 8-11	22	2010
2011 Jul 7-10	22	2011
2012 Jul 9-12	20	2012
2013 Jul 10-14	19	2013
2014 Jul 7-10	21	2014
2015 Jul 8-12	19	2015
2016 Jul 13-17	19	2016
2017 Jul 5-9	17	2017
2018 Jul 1-11	16	2018
