US GDP($T)	Year	Years since 1950
17.30	2020	70
19.25	2019	69
18.78	2018	68
18.32	2017	67
17.82	2016	66
17.47	2015	65
17.14	2014	64
16.66	2013	63
16.24	2012	62
16	2011	61
15.75	2010	60
15.36	2009	59
15.33	2008	58
15.76	2007	57
15.46	2006	56
15.07	2005	55
14.61	2004	54
14.15	2003	53
13.56	2002	52
13.28	2001	51
13.26	2000	50
12.88	1999	49
12.29	1998	48
11.72	1997	47
11.21	1996	46
10.74	1995	45
10.51	1994	44
10.09	1993	43
9.83	1992	42
9.42	1991	41
9.31	1990	40
9.26	1989	39
9.01	1988	38
8.68	1987	37
8.31	1986	36
8.07	1985	35
7.75	1984	34
7.34	1983	33
6.8	1982	32
6.9	1981	31
6.81	1980	30
6.82	1979	29
6.73	1978	28
6.31	1977	27
6.01	1976	26
5.76	1975	25
5.62	1974	24
5.73	1973	23
5.51	1972	22
5.15	1971	21
4.94	1970	20
4.94	1969	19
4.84	1968	18
4.62	1967	17
4.5	1966	16
4.3	1965	15
3.97	1964	14
3.77	1963	13
3.59	1962	12
3.44	1961	11
3.23	1960	10
3.2	1959	9
3.06	1958	8
2.98	1957	7
2.97	1956	6
2.91	1955	5
2.74	1954	4
2.66	1953	3
2.65	1952	2
2.51	1951	1
2.38	1950	0
