Age	Life expectancy
0.00	71.9
1.00	71.8
2.00	70.9
3.00	69.9
4.00	68.9
5.00	67.9
6.00	66.9
7.00	66.0
8.00	65.0
9.00	64.0
10.00	63.0
11.00	62.0
12.00	61.0
13.00	60.0
14.00	59.0
15.00	58.1
16.00	57.1
17.00	56.2
18.00	55.2
19.00	54.3
20.00	53.4
21.00	52.5
22.00	51.6
23.00	50.7
24.00	49.8
25.00	48.9
26.00	48.0
27.00	47.1
28.00	46.2
29.00	45.3
30.00	44.5
31.00	43.6
32.00	42.7
33.00	41.8
34.00	40.9
35.00	40.0
36.00	39.2
37.00	38.3
38.00	37.4
39.00	36.5
40.00	35.7
41.00	34.8
42.00	33.9
43.00	33.0
44.00	32.2
45.00	31.3
46.00	30.5
47.00	29.6
48.00	28.8
49.00	27.9
50.00	27.1
51.00	26.3
52.00	25.5
53.00	24.7
54.00	23.9
55.00	23.2
56.00	22.4
57.00	21.7
58.00	21.0
59.00	20.3
60.00	19.6
61.00	18.9
62.00	18.2
63.00	17.6
64.00	17.0
65.00	16.4
66.00	15.8
67.00	15.2
68.00	14.6
69.00	14.0
70.00	13.4
71.00	12.9
72.00	12.3
73.00	11.7
74.00	11.2
75.00	10.7
76.00	10.1
77.00	9.6
78.00	9.1
79.00	8.7
80.00	8.2
81.00	7.7
82.00	7.3
83.00	6.9
84.00	6.5
85.00	6.1
86.00	5.8
87.00	5.4
88.00	5.1
89.00	4.8
90.00	4.5
91.00	4.2
92.00	4.0
93.00	3.7
94.00	3.5
95.00	3.3
96.00	3.1
97.00	2.9
98.00	2.7
99.00	2.6
100.00	2.5
