TEAM	League	GP	AB	Won	Lost	Runs	Runs Per Game	H	2B	3B	HR	TB	RBI	AVG	OBP	SLG	OPS	Home Attendance	Home Games	Home Avg Att	Road Games	Road Attendance	Road Avg Att	Overall Avg Att
Arizona	NL	162	5633	85	77	813	5.02	1419	288	40	220	2447	778	0.252	0.323	0.434	0.757	2135510	81	26364	81	2348433	28993	27678
Atlanta	NL	162	5560	97	65	855	5.28	1432	277	29	249	2514	824	0.258	0.336	0.452	0.789	2654920	81	32776	80	2306320	28829	30815
Baltimore	AL	162	5596	54	108	729	4.5	1379	252	25	213	2320	698	0.246	0.31	0.415	0.725	1307807	80	16347	78	1987752	25484	20858
Boston	AL	162	5770	84	78	901	5.56	1554	345	27	245	2688	857	0.269	0.34	0.466	0.806	2924627	81	36106	81	2270187	28027	32066
Chicago Cubs	NL	162	5461	84	78	814	5.02	1378	270	26	256	2468	783	0.252	0.331	0.452	0.783	3094865	81	38208	81	2709774	33454	35831
Chicago Sox	AL	161	5529	72	89	708	4.4	1443	260	20	182	2289	676	0.261	0.314	0.414	0.728	1629636	76	21442	81	1975104	24384	22960
Cincinnati	NL	162	5450	75	87	701	4.33	1328	235	27	227	2298	679	0.244	0.315	0.422	0.736	1808685	81	22329	81	2464425	30425	26377
Cleveland	AL	162	5425	93	69	769	4.75	1354	286	18	223	2345	731	0.25	0.323	0.432	0.756	1738642	79	22008	81	2020464	24944	23494
Colorado	NL	162	5660	71	91	835	5.15	1502	323	41	224	2579	803	0.265	0.326	0.456	0.782	2993244	81	36953	81	2472768	30528	33741
Detroit	AL	161	5549	47	114	582	3.61	1333	292	41	149	2154	556	0.24	0.294	0.388	0.682	1501430	80	18767	79	1961254	24826	21778
Houston	AL	162	5613	107	55	920	5.68	1538	323	28	288	2781	891	0.274	0.352	0.495	0.848	2857367	81	35276	80	2104160	26302	30817
Kansas City	AL	162	5496	59	103	691	4.27	1356	281	40	162	2203	655	0.247	0.309	0.401	0.71	1479659	80	18495	80	2005760	25072	21783
LA Angels	AL	162	5542	72	90	769	4.75	1368	268	21	220	2338	734	0.247	0.324	0.422	0.746	3023010	81	37321	81	2174769	26849	32085
LA Dodgers	NL	162	5493	106	56	886	5.47	1414	302	20	279	2593	861	0.257	0.338	0.472	0.81	3974309	81	49065	81	2707587	33427	41246
Miami	NL	162	5512	57	105	615	3.8	1326	265	18	146	2065	593	0.241	0.298	0.375	0.673	811302	81	10016	80	2224960	27812	18858
Milwaukee	NL	162	5542	89	73	769	4.75	1366	279	17	250	2429	744	0.246	0.329	0.438	0.767	2923333	81	36090	81	2407887	29727	32909
Minnesota	AL	162	5732	101	61	939	5.8	1547	318	23	307	2832	906	0.27	0.338	0.494	0.832	2294152	81	28322	80	1880400	23505	25928
NY Mets	NL	162	5624	86	76	791	4.88	1445	280	17	242	2485	767	0.257	0.328	0.442	0.77	2442532	80	30531	81	2383425	29425	29975
NY Yankees	AL	162	5583	103	59	943	5.82	1493	290	17	306	2735	904	0.267	0.339	0.49	0.829	3304404	79	41827	80	2460720	30759	36258
Oakland	AL	162	5561	97	65	845	5.22	1384	292	23	257	2493	800	0.249	0.327	0.448	0.776	1662211	81	20521	81	2236815	27615	24068
Philadelphia	NL	162	5571	81	81	774	4.78	1369	311	26	215	2377	742	0.246	0.319	0.427	0.746	2727421	81	33671	81	2345598	28958	31315
Pittsburgh	NL	162	5657	69	93	758	4.68	1497	315	38	163	2377	722	0.265	0.321	0.42	0.741	1491429	81	18412	81	2597670	32070	25241
San Diego	NL	162	5391	70	92	682	4.21	1281	224	24	219	2210	652	0.238	0.308	0.41	0.718	2396399	81	29585	81	2628126	32446	31015
San Francisco	NL	162	5579	77	85	678	4.19	1332	300	26	167	2185	655	0.239	0.302	0.392	0.694	2707760	81	33429	81	2628612	32452	32940
Seattle	AL	162	5500	68	94	758	4.68	1305	254	28	239	2332	730	0.237	0.316	0.424	0.74	1791937	81	22122	81	2150388	26548	24335
St. Louis	NL	162	5449	91	71	764	4.72	1336	246	24	210	2260	714	0.245	0.322	0.415	0.737	3480393	81	42967	81	2385207	29447	36207
Tampa Bay	AL	162	5628	96	66	769	4.75	1427	291	29	217	2427	730	0.254	0.325	0.431	0.757	1178735	80	14734	79	2059293	26067	20365
Texas	AL	162	5540	78	84	810	5	1374	296	24	223	2387	765	0.248	0.319	0.431	0.75	2133004	81	26333	80	2128080	26601	26466
Toronto	AL	162	5493	67	95	726	4.48	1299	270	21	247	2352	697	0.236	0.305	0.428	0.733	1750144	81	21606	81	2098224	25904	23755
Washington	NL	162	5512	93	69	873	5.39	1460	298	27	231	2505	824	0.265	0.342	0.454	0.796	2259781	81	27898	81	2353374	29054	28476
