count	Year	Month 
1	2013	1
2	2013	2
0	2013	3
4	2013	4
29	2013	5
27	2013	6
31	2013	7
33	2013	8
15	2013	9
6	2013	10
10	2013	11
4	2013	12
7	2014	1
0	2014	2
4	2014	3
3	2014	4
15	2014	5
15	2014	6
35	2014	7
16	2014	8
19	2014	9
3	2014	10
0	2014	11
0	2014	12
0	2015	1
4	2015	2
0	2015	3
2	2015	4
2	2015	5
36	2015	6
56	2015	7
30	2015	8
15	2015	9
5	2015	10
2	2015	11
0	2015	12
0	2016	1
0	2016	2
0	2016	3
4	2016	4
16	2016	5
40	2016	6
45	2016	7
43	2016	8
30	2016	9
5	2016	10
2	2016	11
0	2016	12
0	2017	1
1	2017	2
0	2017	3
10	2017	4
39	2017	5
78	2017	6
112	2017	7
71	2017	8
48	2017	9
58	2017	10
5	2017	11
16	2017	12
2	2018	1
3	2018	2
2	2018	3
8	2018	4
26	2018	5
82	2018	6
89	2018	7
43	2018	8
29	2018	9
14	2018	10
17	2018	11
1	2018	12
1	2019	1
0	2019	2
0	2019	3
4	2019	4
13	2019	5
41	2019	6
47	2019	7
46	2019	8
52	2019	9
56	2019	10
6	2019	11
0	2019	12
