AcresBurned	Year	month	Location	Name
257314	2013	08	3 miles east of Groveland along Hwy 120	Rim Fire
30274	2013	05	Angeles National Forest	Powerhouse Fire
27531	2013	07	Hwy 243 & Hwy 74 near Mountain Center	Mountain Fire
27440	2013	08	Deadwood Ridge, northeast of Foresthill	American Fire
24251	2013	05	Southbound Highway 101 at Camarillo Springs Road, Camarillo	Springs Fire
22992	2013	07	Seven miles north of Big Creek	Aspen Fire
20292	2013	08	Poppet Flats Rd near Hwy 243, south of Banning	Silver Fire
14754	2013	07	North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest	Salmon River Complex
12503	2013	08	Tish Tang Ridge east of Hoopa Valley Reservation	Corral Complex
11429	2013	08	Near Deer Creek, 12 miles east of Los Molinos. 	Deer Fire
8073	2013	09	Community of Igo, 10 miles southwest of Redding	Clover Fire
7055	2013	07	off Sunrise Hwy, 9 miles southeast of Julian	Chariot Fire
6965	2013	05	140K3 Line, 8 miles northwest of Butte Meadows	Panther Fire
4346	2013	05	South of Frazier Mountain Park Rd, South of Frazier Park	Grand Fire
4346	2013	05	South of Frazier Mountain Park Rd, South of Frazier Park	Grand Fire
3505	2013	11	The Geysers area, 10 miles northeast of Geyserville	McCabe Fire
3166	2013	05	Mias Canyon and Bluff Road in Banning	Summit Fire
3111	2013	09	off Morgan Territory Road, Southeast of Clayton	Morgan Fire
2781	2013	05	San Felipe Road, north of Highway 78, East of Julian	San Felipe Fire
2462	2013	08	southeast of Oroville	Swedes Fire
2236	2013	10	On Camp Pendleton, west of Fallbrook	DeLuz Fire
2060	2013	08	Golden Trout Wilderness on the Sequoia National Forest.	Fish Fire
1984	2013	05	Southeast of Lake Cachuma, approx. 12 miles southeast of Santa Ynez	White Fire
1708	2013	06	Off Carstens Road, east of 140 in the Midpines area.	Carstens Fire
1383	2013	08	Ortega Highway, west of Lake Elsinoire	Falls Fire
1271	2013	05	Banner Grade area, south of Hwy 78 & east of Hwy 79, southeast of Julian	General Fire
1070	2013	08	Near Beardsley Lake, northeast of Sonora	Power Fire
917	2013	12	Pfeiffer Ridge Road and Highway 1 near Big Sur	Pfeiffer Fire
794	2013	08	Lower Kern River Canyon area off Highway 178	Shirley Fire
712	2013	07	West side of Interstate 5 in Lebec (Kern County)	Rancho Fire
712	2013	05	I-5 Southbound at Lake Hughes Road	Lake Fire
612	2013	07	West side of Interstate 5 at Tejon Ranch	Water Fire
572	2013	07	Off Hwy 50 at 30 Mile Tract, Kyburz	Kyburz Fire
534	2013	06	south of Highway 38 & Bryant Street, northwest of Yucaipa 	Mills Fire
513	2013	08	Keddie Ridge/North Arm areas of Indian Valley near Taylorsville	Plumas Lightning Complex (Hough)
510	2013	05	Highway 243, south of Banning and north of Pine Cove	Gorgonio Fire
502	2013	07	5 miles northwest of Aiden	Fox Fire (formally 3-7 Fire)
500	2013	06	west of the Carrizo Plain, Los Padres National Forest	Branch Fire
492	2013	07	Kirker Pass Road south of Pittsburg	Kirker Fire
482	2013	06	off Hwy 41 & Road 145, northwest of Friant 	Rolling Fire
413	2013	08	upper end of Lytle Creek	Gobblers Fire
406	2013	02	south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine	River Fire
376	2013	10	off Berryessa Knoxville Rd near Lake Berryessa	Putah Fire
354	2013	05	Highway 25 and Horizon Rd, Community of Tres 	Tres Pinos Fire
311	2013	02	Rio Rancho Rd & Calle Hermosa, Jurupa Valley	Jurupa Fire
305	2013	10	off District Center Dr & Fortune Way in Palermo	Summit Fire
303	2013	05	off North Shelton Rd in the Linden Peters area	Shelton Fire
298	2013	06	Palermo Road and Lone Tree Road near Palermo	Lone Fire
296	2013	01	North of Highway 29, southeast of Kelseyville	Becks Fire
274	2013	07	off Concord Ave & Vineyard Parkway in Brentwood	Concord Fire
