game_ID	year	stage	penalty_round	kick_in_round	team	penalty_scored
1	1982	Semi-finals	1	2	West Germany	True
1	1982	Semi-finals	1	1	France	True
1	1982	Semi-finals	2	2	West Germany	True
1	1982	Semi-finals	2	1	France	True
1	1982	Semi-finals	3	2	West Germany	False
1	1982	Semi-finals	3	1	France	True
1	1982	Semi-finals	4	2	West Germany	True
1	1982	Semi-finals	4	1	France	False
1	1982	Semi-finals	5	2	West Germany	True
1	1982	Semi-finals	5	1	France	True
2	1986	Quarter-finals	1	2	France	True
2	1986	Quarter-finals	1	1	Brazil	False
2	1986	Quarter-finals	2	2	France	True
2	1986	Quarter-finals	2	1	Brazil	True
2	1986	Quarter-finals	3	2	France	True
2	1986	Quarter-finals	3	1	Brazil	True
2	1986	Quarter-finals	4	2	France	False
2	1986	Quarter-finals	4	1	Brazil	True
2	1986	Quarter-finals	5	2	France	True
2	1986	Quarter-finals	5	1	Brazil	False
3	1986	Quarter-finals	1	1	West Germany	True
3	1986	Quarter-finals	1	2	Mexico	True
3	1986	Quarter-finals	2	1	West Germany	True
3	1986	Quarter-finals	2	2	Mexico	False
3	1986	Quarter-finals	3	1	West Germany	True
3	1986	Quarter-finals	3	2	Mexico	False
3	1986	Quarter-finals	4	1	West Germany	True
4	1986	Quarter-finals	1	2	Belgium	True
4	1986	Quarter-finals	1	1	Spain	True
4	1986	Quarter-finals	2	2	Belgium	True
4	1986	Quarter-finals	2	1	Spain	False
4	1986	Quarter-finals	3	2	Belgium	True
4	1986	Quarter-finals	3	1	Spain	True
4	1986	Quarter-finals	4	2	Belgium	True
4	1986	Quarter-finals	4	1	Spain	True
4	1986	Quarter-finals	5	2	Belgium	True
4	1986	Quarter-finals	5	1	Spain	True
5	1990	Second round	1	2	Republic of Ireland	True
5	1990	Second round	1	1	Romania	True
5	1990	Second round	2	2	Republic of Ireland	True
5	1990	Second round	2	1	Romania	True
5	1990	Second round	3	2	Republic of Ireland	True
5	1990	Second round	3	1	Romania	True
5	1990	Second round	4	2	Republic of Ireland	True
5	1990	Second round	4	1	Romania	True
5	1990	Second round	5	2	Republic of Ireland	True
5	1990	Second round	5	1	Romania	False
6	1990	Quarter-finals	1	1	Argentina	True
6	1990	Quarter-finals	1	2	Yugoslavia	False
6	1990	Quarter-finals	2	1	Argentina	True
